Depth (m),[CH4] (ppb)
1957.309,672.1
1961.315,706.8
1963.44,701.1
1965.313,708.4
1967.317,732.3
1971.54,754.0
1975.32,754.3
1977.317,707.4
1977.322,708.9
1981.322,643.5
1983.428,612.2
1985.322,576.5
1987.323,525.0
1991.327,483.6
1995.325,481.1
1995.33,486.5
1997.331,483.1
1999.545,478.5
2001.334,479.7
2003.425,475.3
2003.43,481.5
2005.326,481.2
2005.331,488.1
2007.33,490.4
2011.332,480.7
2015.316,483.2
2017.336,473.9
2021.335,484.8
2023.438,494.1
2025.333,487.8
2025.338,484.9
2027.339,471.1
2031.334,480.3
2035.334,475.6
2037.334,465.4
2041.291,486.0
2043.435,474.9
2045.332,470.5
2045.337,472.5
2047.332,466.3
2047.337,470.8
2051.334,466.4
2055.335,466.3
2057.336,478.5
2061.329,477.9
2063.325,472.9
2063.33,473.8
2065.328,470.5
2067.326,471.6
2071.329,464.3
2075.331,461.3
2077.447,461.5
2081.334,465.1
2083.434,481.1
2085.333,491.0
2087.348,498.4
2091.332,503.7
2095.331,549.2
2097.332,596.1
2101.333,613.6
2103.333,632.6
2105.332,654.9
2107.333,672.5
2111.334,683.5
2115.333,662.2
2117.332,652.1
2121.326,637.5
2121.331,641.5
2123.455,634.1
2125.334,625.6
2127.335,605.4
2129.3345,598.3
2131.335,610.8
2135.333,630.3
2137.334,651.4
2139.325,657.7
2141.331,673.5
2143.426,665.1
2143.431,664.9
2145.63,677.1
2147.463,682.5
2151.328,676.7
2155.328,676.8
2157.321,665.2
2157.326,669.7
2159.339,673.9
2161.324,679.9
2163.427,682.5
2165.326,673.8
2167.321,652.9
2167.326,658.2
2169.322,630.3
2171.327,630.2
2175.318,647.0
2175.323,651.0
2177.326,652.8
2179.32,653.5
2181.325,666.7
2183.422,670.8
2185.323,677.4
2187.32,670.6
2191.321,652.7
2195.278,655.1
2195.413,658.1
2197.322,661.7
2198.315,654.5
2199.321,646.6
2200.321,638.6
2201.32,620.4
2202.321,601.9
2204.322,588.9
2205.32,576.9
2206.321,576.1
2207.32,571.8
2209.321,582.2
2210.32,605.0
2211.321,633.1
2212.32,633.3
2214.315,648.1
2214.32,648.4
2215.377,649.7
2216.322,643.7
2217.32,628.5
2219.314,627.2
2219.319,630.4
2220.319,621.1
2221.319,621.8
2222.318,638.4
2224.321,637.6
2225.245,630.4
2226.272,619.6
2227.321,613.0
2229.322,614.8
