C01 TITLE: CO event sampling data 
C02 FILE NAME: cgo540s00.noaa.as.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 2148
C05 HEADER LINES: 38
C06 DATA VERSION: 201708
C07 STATION NAME: Cape Grim 
C08 STATION CATEGORY: Global
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: Australia
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: -40.68
C13 LONGITUDE: 144.68
C14 ALTITUDE: 94
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1990-11-16 2016-12-20
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: CSIRO, Atmospheric Research [CSIRO]
C37 # comment: 
C38   DATE  TIME       DATE  TIME         CO    ND      SD     F CS       REM
1990-11-16 03:58 9999-99-99 99:99     84.620 -9999 -99999.   W..  0   1136-81
1990-11-16 03:58 9999-99-99 99:99     85.930 -9999 -99999.   W..  0   1136-81
1990-11-16 03:59 9999-99-99 99:99     83.930 -9999 -99999.   W..  0     76-81
1990-11-16 03:59 9999-99-99 99:99     83.330 -9999 -99999.   W..  0     76-81
1990-11-22 04:47 9999-99-99 99:99     83.600 -9999 -99999.   W..  0   1312-81
1990-11-22 04:47 9999-99-99 99:99     83.260 -9999 -99999.   W..  0   1312-81
1990-11-22 04:48 9999-99-99 99:99    177.180 -9999 -99999.   W..  0   1010-81
1990-11-22 04:48 9999-99-99 99:99    179.120 -9999 -99999.   W..  0   1010-81
1990-11-29 04:12 9999-99-99 99:99     66.670 -9999 -99999.   W..  0      2-81
1990-11-29 04:12 9999-99-99 99:99     66.450 -9999 -99999.   W..  0      2-81
1990-11-29 04:20 9999-99-99 99:99     72.760 -9999 -99999.   W..  0   1254-81
1990-11-29 04:20 9999-99-99 99:99     72.220 -9999 -99999.   W..  0   1254-81
1990-12-06 04:17 9999-99-99 99:99     76.710 -9999 -99999.   W..  0   1293-81
1990-12-06 04:17 9999-99-99 99:99     77.570 -9999 -99999.   W..  0   1293-81
1990-12-06 04:20 9999-99-99 99:99     78.310 -9999 -99999.   W..  0   1454-81
1990-12-06 04:20 9999-99-99 99:99     80.010 -9999 -99999.   W..  0   1454-81
1990-12-12 22:38 9999-99-99 99:99    100.080 -9999 -99999.   W..  0   1042-81
1990-12-12 22:41 9999-99-99 99:99     69.040 -9999 -99999.   W..  0    855-81
1990-12-12 22:41 9999-99-99 99:99     64.240 -9999 -99999.   W..  0    855-81
1990-12-12 22:41 9999-99-99 99:99     78.030 -9999 -99999.   W..  0    856-81
1990-12-18 03:37 9999-99-99 99:99    100.560 -9999 -99999.   W..  0    760-81
1990-12-18 03:37 9999-99-99 99:99     99.520 -9999 -99999.   W..  0    760-81
1990-12-18 03:38 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    578-81
1990-12-18 03:38 9999-99-99 99:99    166.230 -9999 -99999.   W..  0    578-81
1990-12-28 00:58 9999-99-99 99:99    112.220 -9999 -99999.   W..  0    571-81
1990-12-28 00:58 9999-99-99 99:99    112.390 -9999 -99999.   W..  0    571-81
1990-12-28 00:58 9999-99-99 99:99     92.430 -9999 -99999.   W..  0    572-81
1990-12-28 00:59 9999-99-99 99:99     72.360 -9999 -99999.   W..  0    253-81
1990-12-28 00:59 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    254-81
1991-01-11 02:47 9999-99-99 99:99     82.090 -9999 -99999.   W..  0      4-81
1991-01-11 02:47 9999-99-99 99:99     82.330 -9999 -99999.   W..  0      4-81
1991-01-15 03:58 9999-99-99 99:99     66.550 -9999 -99999.   W..  0   1473-81
1991-01-15 03:58 9999-99-99 99:99     68.020 -9999 -99999.   W..  0   1474-81
1991-01-15 13:59 9999-99-99 99:99     59.140 -9999 -99999.   W..  0    526-81
1991-01-15 13:59 9999-99-99 99:99     58.090 -9999 -99999.   W..  0    526-81
1991-01-30 03:40 9999-99-99 99:99     99.640 -9999 -99999.   W..  0    277-81
1991-01-30 03:40 9999-99-99 99:99    101.160 -9999 -99999.   W..  0    277-81
1991-01-30 03:40 9999-99-99 99:99     95.450 -9999 -99999.   W..  0    278-81
1991-01-30 03:44 9999-99-99 99:99    332.610 -9999 -99999.   W.C  0   1295-81
1991-01-30 03:44 9999-99-99 99:99    334.550 -9999 -99999.   W.C  0   1295-81
1991-01-30 03:44 9999-99-99 99:99    126.320 -9999 -99999.   W..  0   1296-81
1991-01-30 03:44 9999-99-99 99:99    126.300 -9999 -99999.   W..  0   1296-81
1991-02-06 03:24 9999-99-99 99:99    158.800 -9999 -99999.   W..  0    644-81
1991-02-06 03:24 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    644-81
1991-02-06 03:28 9999-99-99 99:99     54.970 -9999 -99999.   W..  0    140-81
1991-02-06 03:28 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    140-81
1991-02-06 03:28 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    140-81
1991-02-14 04:41 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    217-81
1991-02-14 04:41 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    217-81
1991-02-14 04:41 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    218-81
1991-02-14 04:42 9999-99-99 99:99     87.060 -9999 -99999.   W..  0    758-81
1991-02-14 04:42 9999-99-99 99:99     87.030 -9999 -99999.   W..  0    758-81
1991-02-20 04:05 9999-99-99 99:99     51.770 -9999 -99999.   W..  0    876-81
1991-02-20 04:05 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    876-81
1991-02-20 04:05 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    876-81
1991-02-20 04:06 9999-99-99 99:99     63.820 -9999 -99999.   W..  0    249-81
1991-02-20 04:06 9999-99-99 99:99     63.110 -9999 -99999.   W..  0    249-81
1991-02-20 04:06 9999-99-99 99:99     62.760 -9999 -99999.   W..  0    250-81
1991-03-01 04:51 9999-99-99 99:99    186.390 -9999 -99999.   W..  0    908-81
1991-03-01 04:51 9999-99-99 99:99    185.190 -9999 -99999.   W..  0    908-81
1991-03-01 04:54 9999-99-99 99:99     68.900 -9999 -99999.   W..  0    444-81
1991-03-01 04:54 9999-99-99 99:99     70.020 -9999 -99999.   W..  0    444-81
