C01 TITLE: CO event sampling data 
C02 FILE NAME: hba775s00.noaa.as.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 2225
C05 HEADER LINES: 39
C06 DATA VERSION: 201708
C07 STATION NAME: Halley Bay 
C08 STATION CATEGORY: Global
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: United Kingdom of Great Britain and Northern Ireland
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: -75.57
C13 LONGITUDE: -26.5
C14 ALTITUDE: 33
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1990-01-27 2016-12-24
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: British Antarctic Survey [BAS]
C37 # collaborator_url: www.antarctica.ac.uk
C38 # comment: 
C39   DATE  TIME       DATE  TIME         CO    ND      SD     F CS       REM
1990-01-27 19:10 9999-99-99 99:99    112.090 -9999 -99999.   W..  0    234-81
1990-01-27 19:10 9999-99-99 99:99    113.160 -9999 -99999.   W..  0    234-81
1990-02-08 19:15 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    236-81
1990-02-08 19:15 9999-99-99 99:99    424.750 -9999 -99999.   W.C  0    236-81
1990-02-17 18:00 9999-99-99 99:99    104.420 -9999 -99999.   W..  0    238-81
1990-02-17 18:00 9999-99-99 99:99    106.220 -9999 -99999.   W..  0    238-81
1990-02-25 12:34 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    240-81
1990-02-25 12:34 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    240-81
1990-03-13 14:25 9999-99-99 99:99    130.710 -9999 -99999.   W..  0    242-81
1990-03-13 14:25 9999-99-99 99:99    131.160 -9999 -99999.   W..  0    242-81
1990-03-21 16:40 9999-99-99 99:99    116.270 -9999 -99999.   W..  0    243-81
1990-03-21 16:40 9999-99-99 99:99    118.810 -9999 -99999.   W..  0    243-81
1990-03-21 16:40 9999-99-99 99:99    553.190 -9999 -99999.   W.C  0    244-81
1990-04-04 15:05 9999-99-99 99:99    367.480 -9999 -99999.   W.C  0    248-81
1990-04-04 15:05 9999-99-99 99:99    368.330 -9999 -99999.   W.C  0    248-81
1990-04-18 15:45 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    246-81
1990-04-18 15:45 9999-99-99 99:99    184.430 -9999 -99999.   W..  0    246-81
1990-05-02 17:50 9999-99-99 99:99    194.160 -9999 -99999.   W..  0    926-81
1990-05-02 17:50 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    926-81
1990-05-16 15:07 9999-99-99 99:99    293.220 -9999 -99999.   W.C  0    198-81
1990-05-16 15:07 9999-99-99 99:99    292.830 -9999 -99999.   W.C  0    198-81
1990-06-01 10:36 9999-99-99 99:99     65.570 -9999 -99999.   W..  0    462-81
1990-06-01 10:36 9999-99-99 99:99     64.940 -9999 -99999.   W..  0    462-81
1990-06-13 17:50 9999-99-99 99:99    383.230 -9999 -99999.   W.C  0    553-81
1990-06-13 17:50 9999-99-99 99:99    384.490 -9999 -99999.   W.C  0    553-81
1990-06-27 09:35 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    478-81
1990-06-27 09:35 9999-99-99 99:99    462.800 -9999 -99999.   W.C  0    478-81
1990-07-11 15:51 9999-99-99 99:99    240.160 -9999 -99999.   W.C  0   1066-81
1990-07-11 15:51 9999-99-99 99:99    240.270 -9999 -99999.   W.C  0   1066-81
1990-07-25 17:08 9999-99-99 99:99    292.680 -9999 -99999.   W.C  0    480-81
1990-07-25 17:08 9999-99-99 99:99    292.310 -9999 -99999.   W.C  0    480-81
1990-08-08 10:00 9999-99-99 99:99    228.040 -9999 -99999.   W..  0   1105-81
1990-08-08 10:00 9999-99-99 99:99    226.720 -9999 -99999.   W..  0   1105-81
1990-08-22 10:37 9999-99-99 99:99     97.290 -9999 -99999.   W..  0     22-81
1990-08-22 10:37 9999-99-99 99:99     97.540 -9999 -99999.   W..  0     22-81
1990-09-05 14:40 9999-99-99 99:99    516.950 -9999 -99999.   W.C  0   1014-81
1990-09-05 14:40 9999-99-99 99:99    124.710 -9999 -99999.   W..  0    574-81
1990-09-20 13:32 9999-99-99 99:99    114.110 -9999 -99999.   W..  0   1013-81
1990-09-20 13:32 9999-99-99 99:99    115.260 -9999 -99999.   W..  0   1013-81
1990-10-03 17:30 9999-99-99 99:99    274.430 -9999 -99999.   W.C  0    308-81
1990-10-03 17:30 9999-99-99 99:99    275.140 -9999 -99999.   W.C  0    308-81
1990-10-18 15:20 9999-99-99 99:99    175.130 -9999 -99999.   W..  0   1130-81
1990-10-18 15:20 9999-99-99 99:99    173.360 -9999 -99999.   W..  0   1130-81
1990-11-02 14:05 9999-99-99 99:99    262.710 -9999 -99999.   W.C  0    188-81
1990-11-02 14:05 9999-99-99 99:99    261.580 -9999 -99999.   W.C  0    188-81
1990-11-13 18:15 9999-99-99 99:99    244.810 -9999 -99999.   W.C  0   1038-81
1990-11-13 18:15 9999-99-99 99:99    244.140 -9999 -99999.   W.C  0   1038-81
1990-12-01 14:50 9999-99-99 99:99    458.250 -9999 -99999.   W.C  0    846-81
1990-12-01 14:50 9999-99-99 99:99    457.110 -9999 -99999.   W.C  0    846-81
1990-12-11 14:15 9999-99-99 99:99    194.810 -9999 -99999.   W..  0   1036-81
1990-12-11 14:15 9999-99-99 99:99    191.610 -9999 -99999.   W..  0   1036-81
1990-12-28 09:05 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    852-81
1990-12-28 09:05 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    852-81
1991-02-10 15:15 9999-99-99 99:99     71.780 -9999 -99999.   W..  0    321-81
1991-04-24 17:00 9999-99-99 99:99    199.510 -9999 -99999.   W..  0    559-81
1991-04-24 17:00 9999-99-99 99:99    372.350 -9999 -99999.   W.C  0    560-81
1991-06-27 15:10 9999-99-99 99:99     65.680 -9999 -99999.   W..  0    427-81
1991-06-27 15:10 9999-99-99 99:99     72.020 -9999 -99999.   W..  0    428-81
1991-08-21 14:40 9999-99-99 99:99     89.380 -9999 -99999.   W..  0    373-81
1991-08-21 14:40 9999-99-99 99:99    163.950 -9999 -99999.   W..  0    374-81
1991-09-25 10:00 9999-99-99 99:99     98.530 -9999 -99999.   W..  0    335-81
1991-09-25 10:00 9999-99-99 99:99     96.980 -9999 -99999.   W..  0    336-81
1991-10-29 20:35 9999-99-99 99:99    199.630 -9999 -99999.   W..  0    659-81
1991-10-29 20:35 9999-99-99 99:99    215.770 -9999 -99999.   W..  0    660-81
1991-12-10 17:10 9999-99-99 99:99    286.910 -9999 -99999.   W.C  0    367-83
1991-12-10 17:10 9999-99-99 99:99    290.700 -9999 -99999.   W.C  0    875-82
1992-01-18 13:25 9999-99-99 99:99    160.980 -9999 -99999.   W..  0    903-81
1992-01-18 13:25 9999-99-99 99:99    106.590 -9999 -99999.   W..  0    904-81
1992-01-31 15:45 9999-99-99 99:99    250.490 -9999 -99999.   W.C  0    513-81
1992-03-03 12:30 9999-99-99 99:99    126.990 -9999 -99999.   W..  0    793-81
1992-03-03 12:30 9999-99-99 99:99     92.510 -9999 -99999.   W..  0    794-81
1992-03-15 16:00 9999-99-99 99:99     67.840 -9999 -99999.   W..  0   1329-81
1992-03-15 16:00 9999-99-99 99:99     71.390 -9999 -99999.   W..  0   1330-81
1992-03-26 15:00 9999-99-99 99:99    186.300 -9999 -99999.   W..  0    211-81
1992-03-26 15:00 9999-99-99 99:99    174.350 -9999 -99999.   W..  0    212-81
1992-04-10 15:00 9999-99-99 99:99     79.570 -9999 -99999.   W..  0   1419-81
1992-04-10 15:00 9999-99-99 99:99    115.360 -9999 -99999.   W..  0   1420-81
1992-04-24 15:10 9999-99-99 99:99     80.490 -9999 -99999.   W..  0   1305-81
1992-04-24 15:10 9999-99-99 99:99    113.450 -9999 -99999.   W..  0   1306-81
1992-04-28 14:30 9999-99-99 99:99    159.130 -9999 -99999.   W..  0    407-81
1992-04-28 14:30 9999-99-99 99:99    246.570 -9999 -99999.   W.C  0    408-81
1992-05-21 14:50 9999-99-99 99:99    734.330 -9999 -99999.   W.C  0    269-81
1992-05-21 14:50 9999-99-99 99:99    675.700 -9999 -99999.   W.C  0    270-81
1992-06-05 15:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    773-81
1992-06-05 15:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    774-81
1992-06-23 13:00 9999-99-99 99:99    705.870 -9999 -99999.   W.C  0    125-81
1992-06-23 13:00 9999-99-99 99:99    587.650 -9999 -99999.   W.C  0    126-81
1992-07-07 14:20 9999-99-99 99:99    522.330 -9999 -99999.   W.C  0    657-81
1992-07-07 14:20 9999-99-99 99:99    515.860 -9999 -99999.   W.C  0    658-81
1992-07-20 15:45 9999-99-99 99:99    373.240 -9999 -99999.   W.C  0    262-81
1992-07-30 16:35 9999-99-99 99:99     95.800 -9999 -99999.   W..  0    285-81
1992-07-30 16:35 9999-99-99 99:99    148.810 -9999 -99999.   W..  0    286-81
1992-08-20 15:45 9999-99-99 99:99    386.500 -9999 -99999.   W.C  0    763-81
1992-08-20 15:45 9999-99-99 99:99    734.970 -9999 -99999.   W.C  0    764-81
1992-09-08 14:45 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1221-81
