C01 TITLE: CO event sampling data 
C02 FILE NAME: mid528n00.noaa.as.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 2587
C05 HEADER LINES: 39
C06 DATA VERSION: 201708
C07 STATION NAME: Sand Island 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 28.2
C13 LONGITUDE: -177.37
C14 ALTITUDE: 7.7
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1990-11-27 2016-12-31
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: U.S. Fish and Wildlife Service [USFWS]
C37 # collaborator_url: http://midway.fws.gov
C38 # comment: 
C39   DATE  TIME       DATE  TIME         CO    ND      SD     F CS       REM
1990-11-27 01:30 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1085-81
1990-11-27 01:30 9999-99-99 99:99    174.690 -9999 -99999.   W..  0   1086-81
1990-12-04 02:00 9999-99-99 99:99    367.840 -9999 -99999.   W.C  0    119-81
1990-12-04 02:00 9999-99-99 99:99    203.950 -9999 -99999.   W..  0    120-81
1990-12-11 02:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1447-81
1990-12-11 02:00 9999-99-99 99:99    139.590 -9999 -99999.   W..  0   1448-81
1990-12-18 02:00 9999-99-99 99:99    139.130 -9999 -99999.   W..  0    279-81
1990-12-18 02:00 9999-99-99 99:99    171.080 -9999 -99999.   W..  0    280-81
1990-12-18 02:00 9999-99-99 99:99    250.470 -9999 -99999.   W.C  0     67-81
1990-12-18 02:00 9999-99-99 99:99    247.390 -9999 -99999.   W.C  0     68-81
1990-12-26 21:00 9999-99-99 99:99    146.910 -9999 -99999.   W..  0   1259-81
1990-12-26 21:00 9999-99-99 99:99    161.040 -9999 -99999.   W..  0   1260-81
1991-01-02 20:00 9999-99-99 99:99    168.930 -9999 -99999.   W..  0   1265-81
1991-01-02 20:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1266-81
1991-01-16 21:00 9999-99-99 99:99    349.010 -9999 -99999.   W.C  0   1291-81
1991-01-16 21:00 9999-99-99 99:99    227.160 -9999 -99999.   W..  0   1292-81
1991-01-22 20:00 9999-99-99 99:99    181.260 -9999 -99999.   W..  0    969-81
1991-01-22 20:00 9999-99-99 99:99    193.500 -9999 -99999.   W..  0    970-81
1991-01-30 20:00 9999-99-99 99:99    190.950 -9999 -99999.   W..  0    611-81
1991-01-30 20:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    612-81
1991-02-06 21:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    775-81
1991-02-06 21:00 9999-99-99 99:99    186.650 -9999 -99999.   W..  0    776-81
1991-02-12 00:30 9999-99-99 99:99    191.430 -9999 -99999.   W..  0    423-81
1991-02-12 00:30 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    424-81
1991-02-19 21:00 9999-99-99 99:99    213.420 -9999 -99999.   W..  0    903-81
1991-02-19 21:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    904-81
1991-02-26 20:00 9999-99-99 99:99    287.190 -9999 -99999.   W.C  0    767-81
1991-02-26 20:00 9999-99-99 99:99    239.670 -9999 -99999.   W.C  0    768-81
1991-03-12 01:00 9999-99-99 99:99    380.720 -9999 -99999.   W.C  0    668-81
1991-03-12 01:00 9999-99-99 99:99    374.290 -9999 -99999.   W.C  0    668-81
1991-03-19 01:00 9999-99-99 99:99    209.930 -9999 -99999.   W..  0    296-81
1991-03-19 01:00 9999-99-99 99:99    210.950 -9999 -99999.   W..  0    296-81
1991-03-26 01:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1333-81
1991-03-26 01:00 9999-99-99 99:99    180.680 -9999 -99999.   W..  0   1334-81
1991-04-02 00:30 9999-99-99 99:99    296.260 -9999 -99999.   W.C  0    508-81
1991-04-02 00:30 9999-99-99 99:99    296.480 -9999 -99999.   W.C  0    508-81
1991-04-09 20:00 9999-99-99 99:99    195.880 -9999 -99999.   W..  0   1371-81
1991-04-09 20:00 9999-99-99 99:99    193.750 -9999 -99999.   W..  0   1372-81
1991-04-16 21:00 9999-99-99 99:99    192.590 -9999 -99999.   W..  0   1429-81
1991-04-16 21:00 9999-99-99 99:99    205.780 -9999 -99999.   W..  0   1430-81
1991-04-23 20:00 9999-99-99 99:99    184.710 -9999 -99999.   W..  0   1235-81
1991-04-23 20:00 9999-99-99 99:99    283.670 -9999 -99999.   W.C  0   1236-81
1991-04-30 23:00 9999-99-99 99:99    213.430 -9999 -99999.   W..  0    572-81
1991-04-30 23:00 9999-99-99 99:99    216.550 -9999 -99999.   W..  0    572-81
1991-05-07 23:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1046-81
1991-05-07 23:00 9999-99-99 99:99    342.160 -9999 -99999.   W.C  0   1046-81
