C01 TITLE: CO event sampling data 
C02 FILE NAME: poc9xxx00.noaa.am.fl.co.000.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 904
C05 HEADER LINES: 32
C06 DATA VERSION: 201708
C07 STATION NAME: Pacific Ocean 
C08 STATION CATEGORY: 
C09 OBSERVATION CATEGORY: Air sampling observation by a mobile platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 
C13 LONGITUDE: 
C14 ALTITUDE: 10
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1988-07-16 2016-12-23
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME     LAT      LON     ALT         CO    ND      SD     F CS       REM
1988-07-16 12:58 9999-99-99 99:99   0.000 -150.650    20.0    112.930 -9999 -99999.   R..  0   3124-86
1988-07-16 12:58 9999-99-99 99:99   0.000 -150.650    20.0    113.470 -9999 -99999.   R..  0   3124-86
1988-08-07 21:55 9999-99-99 99:99   0.000 -167.480    20.0 -99999.999 -9999 -99999.   R..  0   3164-86
1988-08-30 22:18 9999-99-99 99:99   0.000 -155.380    20.0    213.280 -9999 -99999.   S..  0   3156-86
1988-08-30 22:18 9999-99-99 99:99   0.000 -155.380    20.0    213.920 -9999 -99999.   S..  0   3156-86
1989-02-10 11:23 9999-99-99 99:99   0.170 -167.500    20.0 -99999.999 -9999 -99999.   *..  0   3138-86
1989-04-19 19:38 9999-99-99 99:99   0.020 -159.900    20.0    212.440 -9999 -99999.   W..  0   3017-70
1989-04-19 19:38 9999-99-99 99:99   0.020 -159.900    20.0    204.540 -9999 -99999.   W..  0   3017-70
1989-04-19 19:38 9999-99-99 99:99   0.020 -159.900    20.0    208.950 -9999 -99999.   W..  0   3017-70
1989-05-10 01:00 9999-99-99 99:99   0.000 -167.370    20.0     16.700 -9999 -99999.   W.C  0   3174-70
1989-05-10 01:00 9999-99-99 99:99   0.000 -167.370    20.0    115.910 -9999 -99999.   W..  0   3174-70
1989-05-10 01:00 9999-99-99 99:99   0.000 -167.370    20.0    121.460 -9999 -99999.   W..  0   3174-70
1989-06-04 12:30 9999-99-99 99:99   0.000 -160.020    20.0    126.400 -9999 -99999.   W..  0   3216-70
1989-06-04 12:30 9999-99-99 99:99   0.000 -160.020    20.0    118.960 -9999 -99999.   W..  0   3216-70
1989-06-27 00:30 9999-99-99 99:99   0.120 -167.520    20.0    100.290 -9999 -99999.   W..  0   3040-70
1989-07-20 06:46 9999-99-99 99:99   0.000 -149.770    20.0    134.980 -9999 -99999.   W..  0   3068-70
1989-07-20 06:46 9999-99-99 99:99   0.000 -149.770    20.0    138.950 -9999 -99999.   W..  0   3068-70
1989-07-20 06:46 9999-99-99 99:99   0.000 -149.770    20.0    140.590 -9999 -99999.   W..  0   3068-70
1989-09-10 08:44 9999-99-99 99:99   0.000 -160.230    20.0    139.020 -9999 -99999.   W..  0   3160-70
1989-09-10 08:44 9999-99-99 99:99   0.000 -160.230    20.0    149.370 -9999 -99999.   W..  0   3160-70
1989-10-04 00:00 9999-99-99 99:99   0.000 -170.220    20.0    133.290 -9999 -99999.   W..  0   3112-70
1989-10-04 00:00 9999-99-99 99:99   0.000 -170.220    20.0    134.540 -9999 -99999.   W..  0   3112-70
1989-11-01 09:25 9999-99-99 99:99   0.000 -160.130    20.0 -99999.999 -9999 -99999.   *..  0   3026-70
1989-11-01 09:25 9999-99-99 99:99   0.000 -160.130    20.0 -99999.999 -9999 -99999.   *..  0   3026-70
1989-12-20 06:10 9999-99-99 99:99   0.000 -155.470    20.0    284.740 -9999 -99999.   W.C  0   3088-70
1990-01-12 02:00 9999-99-99 99:99   0.000 -167.620    20.0    105.940 -9999 -99999.   W..  0   3082-70
1990-01-12 02:00 9999-99-99 99:99   0.000 -167.620    20.0    106.320 -9999 -99999.   W..  0   3082-70
1990-02-03 18:55 9999-99-99 99:99   0.000 -155.570    20.0    131.060 -9999 -99999.   W..  0   3204-70
1990-02-03 18:55 9999-99-99 99:99   0.000 -155.570    20.0    129.410 -9999 -99999.   W..  0   3204-70
1990-03-01 13:30 9999-99-99 99:99   0.000 -143.450    20.0    119.040 -9999 -99999.   W..  0   3160-70
1990-03-01 13:30 9999-99-99 99:99   0.000 -143.450    20.0    118.230 -9999 -99999.   W..  0   3160-70
1990-05-29 01:31 9999-99-99 99:99   2.070 -157.520    20.0     80.540 -9999 -99999.   ...  0   6044-66
1990-05-29 01:31 9999-99-99 99:99   2.070 -157.520    20.0     77.020 -9999 -99999.   Z..  0   6044-66
1990-05-29 01:31 9999-99-99 99:99   2.070 -157.520    20.0     81.450 -9999 -99999.   ...  0   6044-66
1990-05-29 13:10 9999-99-99 99:99   0.000 -159.830    20.0     72.040 -9999 -99999.   ...  0   6042-66
1990-05-29 13:10 9999-99-99 99:99   0.000 -159.830    20.0     73.900 -9999 -99999.   ...  0   6042-66
1990-06-25 11:25 9999-99-99 99:99   0.000 -143.650    20.0     68.640 -9999 -99999.   ...  0   6034-66
1990-06-25 11:25 9999-99-99 99:99   0.000 -143.650    20.0     70.680 -9999 -99999.   ...  0   6034-66
1990-06-25 11:25 9999-99-99 99:99   0.000 -143.650    20.0     73.260 -9999 -99999.   ...  0   6034-66
1990-07-16 12:53 9999-99-99 99:99   0.000 -160.280    20.0 -99999.999 -9999 -99999.   *..  0   6172-66
1990-07-16 12:53 9999-99-99 99:99   0.000 -160.280    20.0 -99999.999 -9999 -99999.   *..  0   6172-66
1990-08-04 21:41 9999-99-99 99:99   0.000 -167.400    20.0     70.110 -9999 -99999.   ...  0   6162-66
1990-08-04 21:41 9999-99-99 99:99   0.000 -167.400    20.0     70.530 -9999 -99999.   ...  0   6162-66
1990-08-30 06:17 9999-99-99 99:99   0.000 -160.170    20.0     81.540 -9999 -99999.   ...  0   6196-66
1990-08-30 06:17 9999-99-99 99:99   0.000 -160.170    20.0     83.010 -9999 -99999.   ...  0   6196-66
1990-10-04 01:50 9999-99-99 99:99   0.000 -151.800    20.0    119.030 -9999 -99999.   W..  0   3052-70
1990-10-04 01:50 9999-99-99 99:99   0.000 -151.800    20.0    118.620 -9999 -99999.   W..  0   3052-70
1990-10-18 11:45 9999-99-99 99:99   0.000 -160.220    20.0     69.230 -9999 -99999.   ...  0   6232-66
1990-10-18 11:45 9999-99-99 99:99   0.000 -160.220    20.0     67.720 -9999 -99999.   ...  0   6232-66
1990-10-27 00:50 9999-99-99 99:99   0.000 -170.400    20.0    106.220 -9999 -99999.   W..  0   3095-70
1990-10-27 00:50 9999-99-99 99:99   0.000 -170.400    20.0    106.850 -9999 -99999.   W..  0   3095-70
1990-11-12 06:30 9999-99-99 99:99   0.000 -170.100    20.0     67.670 -9999 -99999.   ...  0   6244-66
1990-11-12 06:30 9999-99-99 99:99   0.000 -170.100    20.0     67.170 -9999 -99999.   ...  0   6244-66
1990-12-08 03:21 9999-99-99 99:99   0.000 -155.630    20.0     67.820 -9999 -99999.   ...  0   6328-66
1990-12-08 03:21 9999-99-99 99:99   0.000 -155.630    20.0     67.630 -9999 -99999.   ...  0   6328-66
1990-12-17 00:55 9999-99-99 99:99   0.000 -154.100    20.0    127.740 -9999 -99999.   W..  0   3172-70
1990-12-17 00:55 9999-99-99 99:99   0.000 -154.100    20.0    127.880 -9999 -99999.   W..  0   3172-70
1991-01-04 08:34 9999-99-99 99:99   0.000 -167.570    20.0     71.080 -9999 -99999.   ...  0   6312-66
1991-01-04 08:34 9999-99-99 99:99   0.000 -167.570    20.0     69.050 -9999 -99999.   ...  0   6312-66
1991-01-08 22:40 9999-99-99 99:99   0.000 -160.200    20.0    117.820 -9999 -99999.   W..  0   3078-70
1991-01-08 22:40 9999-99-99 99:99   0.000 -160.200    20.0    117.710 -9999 -99999.   W..  0   3078-70
1991-01-26 16:28 9999-99-99 99:99  -0.050 -160.230    20.0     71.630 -9999 -99999.   ...  0   6356-66
1991-01-26 16:28 9999-99-99 99:99  -0.050 -160.230    20.0     73.190 -9999 -99999.   ...  0   6356-66
1991-01-31 10:40 9999-99-99 99:99   0.000 -170.380    20.0    103.370 -9999 -99999.   W..  0   3014-70
1991-01-31 10:40 9999-99-99 99:99   0.000 -170.380    20.0    103.950 -9999 -99999.   W..  0   3014-70
1991-02-15 08:20 9999-99-99 99:99   0.000 -170.030    20.0     82.650 -9999 -99999.   ...  0   6240-66
