C01 TITLE: CO event sampling data 
C02 FILE NAME: poc9xxx00.noaa.am.fl.co.25n.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 897
C05 HEADER LINES: 32
C06 DATA VERSION: 201708
C07 STATION NAME: Pacific Ocean 
C08 STATION CATEGORY: 
C09 OBSERVATION CATEGORY: Air sampling observation by a mobile platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 
C13 LONGITUDE: 
C14 ALTITUDE: 10
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1988-07-11 2016-12-18
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME     LAT      LON     ALT         CO    ND      SD     F CS       REM
1988-07-11 16:00 9999-99-99 99:99  25.000 -127.500    20.0 -99999.999 -9999 -99999.   R..  0   3032-86
1988-07-11 16:00 9999-99-99 99:99  25.000 -127.500    20.0 -99999.999 -9999 -99999.   R..  0   3032-86
1988-07-11 16:00 9999-99-99 99:99  25.000 -127.500    20.0 -99999.999 -9999 -99999.   R..  0   3082-86
1988-07-11 16:00 9999-99-99 99:99  25.000 -127.500    20.0 -99999.999 -9999 -99999.   R..  0   3082-86
1988-08-12 21:15 9999-99-99 99:99  25.000 -153.700    20.0 -99999.999 -9999 -99999.   R..  0   3158-86
1988-08-12 21:15 9999-99-99 99:99  25.000 -153.700    20.0 -99999.999 -9999 -99999.   R..  0   3158-86
1989-02-14 18:46 9999-99-99 99:99  25.370 -153.100    20.0 -99999.999 -9999 -99999.   *..  0   3140-86
1989-02-14 18:46 9999-99-99 99:99  25.370 -153.100    20.0 -99999.999 -9999 -99999.   *..  0   3140-86
1989-04-14 15:43 9999-99-99 99:99  25.000 -130.020    20.0    176.980 -9999 -99999.   W..  0   3100-70
1989-04-14 15:43 9999-99-99 99:99  25.000 -130.020    20.0    188.600 -9999 -99999.   W..  0   3100-70
1989-05-15 00:16 9999-99-99 99:99  25.000 -153.670    20.0    175.570 -9999 -99999.   W..  0   3120-70
1989-05-15 00:16 9999-99-99 99:99  25.000 -153.670    20.0    180.600 -9999 -99999.   W..  0   3120-70
1989-07-02 11:10 9999-99-99 99:99  25.000 -153.700    20.0    132.310 -9999 -99999.   W..  0   3046-70
1989-07-02 11:10 9999-99-99 99:99  25.000 -153.700    20.0    131.200 -9999 -99999.   W..  0   3046-70
1989-07-15 15:30 9999-99-99 99:99  25.000 -127.430    20.0    176.630 -9999 -99999.   W..  0   3038-70
1989-07-15 15:30 9999-99-99 99:99  25.000 -127.430    20.0    177.090 -9999 -99999.   W..  0   3038-70
1989-07-15 15:30 9999-99-99 99:99  25.000 -127.430    20.0    177.060 -9999 -99999.   W..  0   3038-70
1989-07-15 15:30 9999-99-99 99:99  25.000 -127.430    20.0    177.040 -9999 -99999.   W..  0   3038-70
1989-08-23 10:15 9999-99-99 99:99  25.000 -153.770    20.0    164.280 -9999 -99999.   W..  0   3206-70
1989-08-23 10:15 9999-99-99 99:99  25.000 -153.770    20.0    164.260 -9999 -99999.   W..  0   3206-70
1989-09-04 23:00 9999-99-99 99:99  25.000 -130.100    20.0    185.560 -9999 -99999.   W..  0   3090-70
1989-09-04 23:00 9999-99-99 99:99  25.000 -130.100    20.0    186.660 -9999 -99999.   W..  0   3090-70
1989-10-09 18:00 9999-99-99 99:99  25.000 -146.400    20.0    146.720 -9999 -99999.   W..  0   3050-70
1989-10-09 18:00 9999-99-99 99:99  25.000 -146.400    20.0    147.260 -9999 -99999.   W..  0   3050-70
1989-10-26 11:25 9999-99-99 99:99  25.000 -130.200    20.0    179.480 -9999 -99999.   W..  0   3032-70
1989-10-26 11:25 9999-99-99 99:99  25.000 -130.200    20.0    178.590 -9999 -99999.   W..  0   3032-70
1989-12-01 03:17 9999-99-99 99:99  25.000 -146.500    20.0    160.350 -9999 -99999.   W..  0   3190-70
1989-12-01 03:17 9999-99-99 99:99  25.000 -146.500    20.0    161.420 -9999 -99999.   W..  0   3190-70
1989-12-15 11:30 9999-99-99 99:99  25.000 -128.820    20.0    140.790 -9999 -99999.   W..  0   3100-70
1989-12-15 11:30 9999-99-99 99:99  25.000 -128.820    20.0    140.810 -9999 -99999.   W..  0   3100-70
1990-01-16 21:10 9999-99-99 99:99  25.000 -153.600    20.0    142.560 -9999 -99999.   W..  0   3068-70
1990-01-16 21:10 9999-99-99 99:99  25.000 -153.600    20.0    143.220 -9999 -99999.   W..  0   3068-70
1990-01-29 18:00 9999-99-99 99:99  25.000 -128.570    20.0    319.370 -9999 -99999.   W.C  0   3001-70
1990-01-29 18:00 9999-99-99 99:99  25.000 -128.570    20.0    317.260 -9999 -99999.   W.C  0   3002-70
1990-01-29 18:00 9999-99-99 99:99  25.000 -128.570    20.0    316.560 -9999 -99999.   W.C  0   3002-70
1990-03-05 06:25 9999-99-99 99:99  25.000 -134.770    20.0    191.400 -9999 -99999.   W..  0   3094-70
1990-03-05 06:25 9999-99-99 99:99  25.000 -134.770    20.0    152.040 -9999 -99999.   W..  0   3094-70
1990-05-23 10:22 9999-99-99 99:99  25.350 -129.620    20.0    110.410 -9999 -99999.   Z..  0   6066-66
1990-05-23 10:22 9999-99-99 99:99  25.350 -129.620    20.0    115.830 -9999 -99999.   ...  0   6066-66
1990-05-23 10:22 9999-99-99 99:99  25.350 -129.620    20.0    118.290 -9999 -99999.   ...  0   6066-66
1990-06-29 05:00 9999-99-99 99:99  25.000 -134.900    20.0     94.900 -9999 -99999.   ...  0   6038-66
1990-06-29 05:00 9999-99-99 99:99  25.000 -134.900    20.0     95.750 -9999 -99999.   ...  0   6038-66
1990-07-10 21:28 9999-99-99 99:99  25.000 -130.080    20.0     95.650 -9999 -99999.   ...  0   6154-66
1990-07-10 21:28 9999-99-99 99:99  25.000 -130.080    20.0     91.850 -9999 -99999.   ...  0   6154-66
1990-07-10 21:28 9999-99-99 99:99  25.000 -130.080    20.0     94.880 -9999 -99999.   ...  0   6154-66
1990-08-09 23:20 9999-99-99 99:99  25.080 -153.670    20.0     77.350 -9999 -99999.   ...  0   6176-66
1990-08-24 04:00 9999-99-99 99:99  25.000 -130.230    20.0     90.630 -9999 -99999.   Z..  0   6134-66
1990-08-24 04:00 9999-99-99 99:99  25.000 -130.230    20.0     95.870 -9999 -99999.   ...  0   6134-66
1990-08-24 04:00 9999-99-99 99:99  25.000 -130.230    20.0     95.240 -9999 -99999.   ...  0   6134-66
1990-09-28 05:04 9999-99-99 99:99  25.000 -125.800    20.0    183.140 -9999 -99999.   W..  0   3125-70
1990-09-28 05:04 9999-99-99 99:99  25.000 -125.800    20.0    182.000 -9999 -99999.   W..  0   3125-70
1990-09-28 21:20 9999-99-99 99:99  25.000 -154.000    20.0 -99999.999 -9999 -99999.   *..  0   6188-66
1990-10-12 13:54 9999-99-99 99:99  25.000 -130.350    20.0    159.350 -9999 -99999.   ...  0   6090-66
1990-10-12 13:54 9999-99-99 99:99  25.000 -130.350    20.0    157.070 -9999 -99999.   ...  0   6090-66
1990-11-01 18:15 9999-99-99 99:99  25.000 -153.700    20.0    156.600 -9999 -99999.   W..  0   3202-70
1990-11-01 18:15 9999-99-99 99:99  25.000 -153.700    20.0    145.930 -9999 -99999.   W..  0   3202-70
1990-11-14 13:48 9999-99-99 99:99  25.000 -128.720    20.0    173.860 -9999 -99999.   W..  0   3168-70
1990-11-14 13:48 9999-99-99 99:99  25.000 -128.720    20.0    171.460 -9999 -99999.   W..  0   3168-70
1990-11-16 23:51 9999-99-99 99:99  25.000 -153.620    20.0    124.580 -9999 -99999.   ...  0   6288-66
1990-11-16 23:51 9999-99-99 99:99  25.000 -153.620    20.0    124.590 -9999 -99999.   ...  0   6288-66
1990-12-02 12:23 9999-99-99 99:99  25.000 -128.920    20.0    141.610 -9999 -99999.   ...  0   6320-66
1990-12-02 12:23 9999-99-99 99:99  25.000 -128.920    20.0    141.040 -9999 -99999.   ...  0   6320-66
1990-12-21 18:30 9999-99-99 99:99  25.000 -153.730    20.0    138.890 -9999 -99999.   W..  0   3086-70
1990-12-21 18:30 9999-99-99 99:99  25.000 -153.730    20.0    138.780 -9999 -99999.   W..  0   3086-70
1991-01-03 02:25 9999-99-99 99:99  25.000 -130.150    20.0    124.870 -9999 -99999.   W..  0   3142-70
