C01 TITLE: CO event sampling data 
C02 FILE NAME: scs9xxx00.noaa.am.fl.co.03n.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 489
C05 HEADER LINES: 32
C06 DATA VERSION: 201708
C07 STATION NAME: South China Sea 
C08 STATION CATEGORY: 
C09 OBSERVATION CATEGORY: Air sampling observation by a mobile platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 
C13 LONGITUDE: 
C14 ALTITUDE: 15
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1991-07-05 1998-10-07
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME     LAT      LON     ALT         CO    ND      SD     F CS       REM
1991-07-05 00:10 9999-99-99 99:99   2.970  105.320    20.0     98.410 -9999 -99999.   ...  0   3252-66
1991-07-05 00:10 9999-99-99 99:99   2.970  105.320    20.0     98.630 -9999 -99999.   ...  0   3252-66
1991-07-14 06:52 9999-99-99 99:99   2.930  104.830    20.0    104.940 -9999 -99999.   ...  0   3260-66
1991-07-14 06:52 9999-99-99 99:99   2.930  104.830    20.0    103.420 -9999 -99999.   ...  0   3260-66
1991-07-17 12:34 9999-99-99 99:99   2.900  104.950    20.0    132.490 -9999 -99999.   ...  0   3274-66
1991-07-17 12:34 9999-99-99 99:99   2.900  104.950    20.0    130.260 -9999 -99999.   ...  0   3274-66
1991-07-26 18:00 9999-99-99 99:99   3.000  104.850    20.0    103.730 -9999 -99999.   ...  0   3292-66
1991-07-26 18:00 9999-99-99 99:99   3.000  104.850    20.0    104.630 -9999 -99999.   ...  0   3292-66
1991-07-30 01:00 9999-99-99 99:99   2.930  105.250    20.0    164.300 -9999 -99999.   ...  0   3094-66
1991-07-30 01:00 9999-99-99 99:99   2.930  105.250    20.0    163.900 -9999 -99999.   ...  0   3094-66
1991-08-07 21:40 9999-99-99 99:99   2.970  105.300    20.0    194.670 -9999 -99999.   ...  0   3144-66
1991-08-07 21:40 9999-99-99 99:99   2.970  105.300    20.0    196.540 -9999 -99999.   ...  0   3144-66
1991-08-11 06:00 9999-99-99 99:99   3.000  105.350    20.0    148.600 -9999 -99999.   ...  0   2322-66
1991-08-11 06:00 9999-99-99 99:99   3.000  105.350    20.0    148.870 -9999 -99999.   ...  0   2322-66
1991-08-21 03:15 9999-99-99 99:99   2.930  104.870    20.0    154.750 -9999 -99999.   ...  0   3086-66
1991-08-21 03:15 9999-99-99 99:99   2.930  104.870    20.0    157.160 -9999 -99999.   ...  0   3086-66
1991-08-24 03:50 9999-99-99 99:99   3.100  105.430    20.0    198.530 -9999 -99999.   ...  0   3040-66
1991-08-24 03:50 9999-99-99 99:99   3.100  105.430    20.0    198.840 -9999 -99999.   ...  0   3040-66
1991-09-01 20:53 9999-99-99 99:99   3.030  104.900    20.0    160.190 -9999 -99999.   ...  0   3170-66
1991-09-01 20:53 9999-99-99 99:99   3.030  104.900    20.0    159.620 -9999 -99999.   ...  0   3170-66
1991-09-04 22:58 9999-99-99 99:99   3.000  105.370    20.0    237.540 -9999 -99999.   ..C  0   3116-66
1991-09-04 22:58 9999-99-99 99:99   3.000  105.370    20.0    236.700 -9999 -99999.   ..C  0   3116-66
1991-09-13 22:00 9999-99-99 99:99   3.080  104.980    20.0    496.350 -9999 -99999.   Z.C  0   3328-66
1991-09-13 22:00 9999-99-99 99:99   3.080  104.980    20.0    498.790 -9999 -99999.   Z.C  0   3328-66
1991-09-19 23:12 9999-99-99 99:99   3.020  105.400    20.0    161.010 -9999 -99999.   ..<  0   3411-66
1991-09-19 23:12 9999-99-99 99:99   3.020  105.400    20.0    159.630 -9999 -99999.   ...  0   3411-66
1991-09-19 23:12 9999-99-99 99:99   3.020  105.400    20.0    159.770 -9999 -99999.   ...  0   3412-66
1991-09-28 23:15 9999-99-99 99:99   3.030  104.880    20.0    400.510 -9999 -99999.   .XC  0   3298-66
1991-10-01 21:03 9999-99-99 99:99   3.030  105.380    20.0    401.210 -9999 -99999.   .XC  0   3041-66
1991-10-01 21:03 9999-99-99 99:99   3.030  105.380    20.0    398.410 -9999 -99999.   .XC  0   3042-66
1991-10-10 14:45 9999-99-99 99:99   3.000  104.830    20.0 -99999.999 -9999 -99999.   *..  0   3266-66
1991-10-10 14:45 9999-99-99 99:99   3.000  104.830    20.0 -99999.999 -9999 -99999.   *..  0   3287-66
1991-10-13 13:05 9999-99-99 99:99   3.000  105.180    20.0    392.160 -9999 -99999.   ..C  0   3405-66
1991-10-13 13:05 9999-99-99 99:99   3.000  105.180    20.0    397.930 -9999 -99999.   ..C  0   3406-66
1991-10-22 00:21 9999-99-99 99:99   3.000  104.900    20.0    476.020 -9999 -99999.   ..C  0   3365-66
1991-10-22 00:21 9999-99-99 99:99   3.000  104.900    20.0    477.490 -9999 -99999.   ..C  0   3366-66
1991-10-24 21:00 9999-99-99 99:99   3.120  105.020    20.0    419.190 -9999 -99999.   ..C  0   3303-66
1991-10-24 21:00 9999-99-99 99:99   3.120  105.020    20.0    423.060 -9999 -99999.   ..C  0   3304-66
1991-11-03 15:55 9999-99-99 99:99   3.090  104.940    20.0    162.970 -9999 -99999.   ...  0   3085-66
1991-11-03 15:55 9999-99-99 99:99   3.090  104.940    20.0    165.360 -9999 -99999.   ...  0   3086-66
1991-11-06 03:20 9999-99-99 99:99   3.170  105.500    20.0    114.140 -9999 -99999.   ..<  0   3260-66
1991-11-15 11:49 9999-99-99 99:99   3.080  104.880    20.0    191.340 -9999 -99999.   ...  0   3073-66
1991-11-15 11:49 9999-99-99 99:99   3.080  104.880    20.0    192.580 -9999 -99999.   ...  0   3074-66
1991-11-19 00:00 9999-99-99 99:99   2.950  105.330    20.0    140.670 -9999 -99999.   ...  0   3427-66
1991-11-19 00:00 9999-99-99 99:99   2.950  105.330    20.0    143.350 -9999 -99999.   ...  0   3428-66
1991-11-30 10:29 9999-99-99 99:99   3.000  104.630    20.0    105.680 -9999 -99999.   ...  0   3003-66
1991-11-30 10:29 9999-99-99 99:99   3.000  104.630    20.0    107.500 -9999 -99999.   ...  0   3004-66
1991-12-04 11:10 9999-99-99 99:99   3.030  104.920    20.0    142.470 -9999 -99999.   ...  0   3013-66
1991-12-04 11:10 9999-99-99 99:99   3.030  104.920    20.0    146.170 -9999 -99999.   ...  0   3014-66
1991-12-18 04:20 9999-99-99 99:99   3.000  105.380    20.0    117.350 -9999 -99999.   ...  0   3057-66
1991-12-18 04:20 9999-99-99 99:99   3.000  105.380    20.0    116.780 -9999 -99999.   ...  0   3058-66
1991-12-27 23:20 9999-99-99 99:99   2.950  105.150    20.0     97.230 -9999 -99999.   ...  0   3251-66
1991-12-27 23:20 9999-99-99 99:99   2.950  105.150    20.0     98.570 -9999 -99999.   ...  0   3252-66
1991-12-31 12:27 9999-99-99 99:99   2.980  105.170    20.0     98.380 -9999 -99999.   ...  0   3267-66
1991-12-31 12:27 9999-99-99 99:99   2.980  105.170    20.0     96.070 -9999 -99999.   ...  0   3268-66
1992-01-09 17:15 9999-99-99 99:99   3.000  105.170    20.0    124.910 -9999 -99999.   P..  0   3117-66
1992-01-09 17:15 9999-99-99 99:99   3.000  105.170    20.0    137.640 -9999 -99999.   P..  0   3118-66
1992-01-12 21:30 9999-99-99 99:99   3.080  105.250    20.0    155.740 -9999 -99999.   ...  0   3065-66
1992-01-12 21:30 9999-99-99 99:99   3.080  105.250    20.0    156.040 -9999 -99999.   ...  0   3066-66
1992-01-22 16:50 9999-99-99 99:99   3.000  105.180    20.0    150.400 -9999 -99999.   P..  0   3343-66
1992-01-22 16:50 9999-99-99 99:99   3.000  105.180    20.0    164.940 -9999 -99999.   P..  0   3344-66
1992-02-04 18:10 9999-99-99 99:99   3.000  105.120    20.0    115.130 -9999 -99999.   ...  0   3511-66
1992-02-04 18:10 9999-99-99 99:99   3.000  105.120    20.0    117.370 -9999 -99999.   ...  0   3512-66
1992-02-09 17:50 9999-99-99 99:99   3.000  105.180    20.0    126.180 -9999 -99999.   ...  0   3509-66
1992-02-09 17:50 9999-99-99 99:99   3.000  105.180    20.0    125.400 -9999 -99999.   ...  0   3510-66
1992-02-23 09:28 9999-99-99 99:99   3.000  105.200    20.0    130.200 -9999 -99999.   ...  0   3051-66
1992-02-23 09:28 9999-99-99 99:99   3.000  105.200    20.0    130.760 -9999 -99999.   ...  0   3052-66
