----------------------------------------------------------------------------------------

d13C(CH4) data of the clean air monitoring station Neumayer

----------------------------------------------------------------------------------------

Institut für Umweltphysik (IUP)

University of Heidelberg, Germany

----------------------------------------------------------------------------------------

LAST UPDATE: 03/2011

CONTRIBUTORS: C.Veidt, C.Poß, and I. Levin

----------------------------------------------------------------------------------------

SAMPLING LOCATION:

Neumayer station, Dronning Maud Land, Antarctica

70.65°S   8.25°W  42m a.s.l.

----------------------------------------------------------------------------------------

REFERENCES:

C. Veidt PhD thesis in preparation

Levin I., C. Veidt, B. H. Vaughn, G. Brailsford, T. Bromley,
R.Heinz, D. Lowe, J. B. Miller, C. Poß, and J. W. C. White
No inter-hemispheric d13CH4 trend observedNature, Vol.486, 28.6.2012, 
pages E3-E4, doi:10.1038/nature11175

NOTE: PLEASE CITE THE LATTER REFERENCE WHEN USING THIS DATA

----------------------------------------------------------------------------------------

13C/12C ratios of CO2 derived from catalytical combustion of the extracted CH4
samples were measured with a dual inlet mass spectrometer (MAT 252, Finnigan).
Hence d13C(CH4) results are NOT affected by the Kr-effect described in
J. Schmitt et al., AMT 2013, DOI: 10.5194/amt-6-1425-2013.

----------------------------------------------------------------------------------------

SCALE:

mole fraction on NOAA04 scale

d13C is reported as deviation from the standard VPDB in permil
d13C(CH4) values are shifted to NIWA-scale:
d13C(NIWA) = d13C(UHEI) + 0.169 permil

----------------------------------------------------------------------------------------

Columns 1 to 3: date of sampling (Neumayer: spot samples)
Column 1: year
Column 2: month
Column 3: day
Column 4: Neumayer CH4 mole fraction in ppb
Column 5: individual error in ppb (1 sigma standard deviation + error propagation)
Column 6: Neumayer d13C(CH4) data in permil versus V-PDB
Column 7: individual error in permil point (1 sigma standard deviation + error propagation)

----------------------------------------------------------------------------------------

year	month	day	CH4	1sig	d13CH4	1sig
1988	06	26	1636.9	5.0	-47.51	0.02
1988	07	03	1646.4	5.0	-47.32	0.10
1988	07	24	1647.9	5.0	-47.37	0.02
1988	07	31	1651.0	1.8	-47.41	0.07
1988	08	11	1657.9	5.2	-47.26	0.07
1988	10	02	1664.7	3.3	-47.17	0.10
1988	12	20	1661.3	5.0	-47.19	0.10
1989	02	20	1642.9	2.0	-47.27	0.07
1989	06	22	1653.3	5.0	-47.47	0.02
1989	07	07	1660.5	5.0	-47.49	0.02
1990	01	14	1653.9	1.7	-47.30	0.05
1990	02	25	1644.3	5.0	-47.38	0.10
1990	03	31	1645.4	3.3	-47.27	0.07
1990	04	14	1650.9	2.0	-47.26	0.10
1990	06	30	1667.4	2.4	-47.32	0.02
1990	07	07	1669.8	2.0	-47.34	0.10
1990	07	14	1672.1	5.0	-47.46	0.02
1990	07	21	1672.4	5.0	-47.32	0.10
1990	09	08	1677.2	1.9	-47.58	0.06
1990	09	16	1674.8	3.0	-47.33	0.10
1990	10	01	1674.1	5.0	-47.31	0.10
1990	11	24	1670.9	1.8	-47.35	0.06
1990	12	15	1672.1	5.0	-47.23	0.07
1991	01	26	1655.1	5.0	-47.13	0.10
1991	02	16	1659.2	5.0	-47.14	0.07
1991	03	18	1651.3	5.0	-47.19	0.10
1991	04	06	1655.8	5.0	-47.21	0.07
1991	05	11	1658.2	5.0	-47.23	0.07
1991	06	29	1674.8	1.7	-47.46	0.02
1991	07	13	1674.1	5.0	-47.35	0.10
1991	08	05	1684.0	1.2	-47.38	0.02
1991	09	08	1684.0	5.0	-47.30	0.10
1991	10	04	1692.0	5.0	-47.35	0.10
1991	10	13	1693.9	5.0	-47.37	0.10
1991	12	03	1687.0	5.0	-47.19	0.10
1992	02	02	1672.7	1.9	-47.20	0.01
1992	03	04	1674.3	1.7	-47.05	0.07
1992	05	11	1685.4	2.1	-47.26	0.02
1992	05	21	1687.0	5.0	-47.15	0.10
1992	05	30	1684.6	1.4	-47.21	0.10
1992	06	17	1688.1	2.1	-47.20	0.01
1992	08	12	1701.9	5.0	-47.34	0.09
1992	08	20	1702.9	5.0	-47.38	0.10
1992	09	24	1709.8	5.0	-47.36	0.10
1992	10	30	1697.7	2.2	-47.18	0.10
1992	11	11	1694.9	5.0	-47.18	0.10
1992	11	19	1694.9	5.0	-47.12	0.10
1992	12	14	1687.9	2.5	-47.21	0.10
1992	12	26	NaN	NaN	-47.16	0.07
1993	02	17	1667.2	5.0	-47.09	0.10
1993	03	13	1672.1	5.0	-47.04	0.07
1993	04	06	1674.1	5.0	-47.17	0.07
1993	06	11	1691.0	5.0	-47.21	0.02
1993	07	03	1694.1	1.7	-47.39	0.09
1993	07	31	1698.8	2.5	-47.43	0.09
1993	08	16	1707.8	5.0	-47.25	0.07
1993	09	11	1703.0	2.2	-47.22	0.10
1993	09	27	1702.7	5.0	-47.19	0.10
1993	10	28	1691.9	5.0	-47.26	0.07
1993	11	19	1695.1	2.1	-47.20	0.06
1993	12	31	1681.0	5.0	-47.14	0.07
1994	01	18	1681.2	5.0	-47.19	0.10
1994	02	14	1674.6	1.3	-47.02	0.10
1994	02	22	1676.5	1.0	-47.09	0.10
1994	02	23	NaN	NaN	-47.05	0.10
1994	03	15	1676.5	5.0	-47.03	0.10
1994	03	25	1675.6	1.2	-47.11	0.09
1994	04	02	1675.3	2.2	-47.06	0.10
1994	05	09	1684.3	1.1	-47.19	0.04
1994	05	16	1685.1	2.1	-47.15	0.10
1994	05	25	1686.9	1.1	-47.21	0.09
1994	06	06	1691.1	2.6	-47.16	0.10
1994	06	14	1693.1	1.0	-47.22	0.02
1994	06	30	1696.8	1.9	-47.26	0.10
1994	07	08	1696.9	1.7	-47.30	0.02
1994	07	16	1695.2	1.8	-47.32	0.10
1994	07	26	1698.3	1.0	-47.25	0.10
1994	08	03	1702.3	1.3	-47.25	0.10
1994	08	13	1702.6	1.1	-47.28	0.03
1994	08	23	1702.7	1.2	-47.19	0.10
1994	09	08	1705.4	3.2	-47.23	0.10
1994	10	12	1707.6	2.2	-47.10	0.10
1994	11	02	1699.1	1.3	-47.31	0.02
1994	11	16	1705.5	0.9	-47.20	0.10
1994	11	26	1701.2	2.4	-47.23	0.10
1994	12	02	1699.6	1.6	-47.10	0.10
1994	12	16	1699.1	1.7	-47.19	0.10
1995	02	02	1688.4	1.4	-47.19	0.03
1995	02	17	1688.0	1.5	-47.03	0.10
1995	03	06	1678.9	4.4	-47.03	0.07
1995	03	16	1687.2	1.3	-47.09	0.10
1995	03	30	1686.8	1.3	-46.99	0.04
1995	04	13	1688.3	1.8	-47.04	0.07
1995	05	12	1693.7	1.0	-46.87	0.10
1995	05	25	1697.6	2.0	-47.07	0.10
1995	06	08	1700.2	2.5	-47.09	0.10
1995	06	21	1700.9	3.0	-46.97	0.10
1995	08	04	1713.4	2.1	-47.13	0.07
1995	08	30	1713.4	2.2	-47.09	0.10
1995	09	14	1716.4	1.4	-47.23	0.04
1995	10	12	1715.6	1.4	-47.11	0.07
1995	12	22	1703.4	1.4	-47.03	0.10
1996	01	19	1695.1	1.8	-47.05	0.10
1996	02	13	1687.3	2.6	-47.10	0.02
1996	02	27	1687.4	2.6	-47.02	0.07
1996	03	09	1689.1	1.4	-46.90	0.04
1996	03	21	1686.8	3.0	-46.94	0.07
1996	03	30	1690.7	0.9	-47.07	0.03
1996	04	09	1687.8	2.4	-47.09	0.10
1996	05	01	1693.0	3.2	-47.04	0.07
1996	05	11	1695.7	1.3	-47.12	0.03
1996	05	21	1697.5	2.3	-47.08	0.07
1996	06	04	1701.1	1.3	-47.14	0.15
1996	06	11	1703.5	1.9	-47.17	0.07
1996	06	20	1704.6	1.4	-47.08	0.06
1996	07	03	1706.3	1.5	-47.17	0.06
1996	07	25	1711.8	1.8	-47.19	0.07
1996	08	11	1711.5	1.6	-47.21	0.02
1996	09	10	1712.1	2.5	-47.31	0.07
1996	10	22	1715.9	3.1	-47.21	0.07
1996	11	14	1712.7	2.5	-47.19	0.06
1996	11	21	1709.8	1.5	-47.20	0.07
1996	12	04	1705.8	2.9	-47.11	0.07
1996	12	25	1698.6	1.8	-47.00	0.07
1997	01	03	1697.3	1.6	-47.16	0.15
1997	01	15	1696.9	3.1	-47.02	0.07
1997	02	13	1690.9	3.3	-47.07	0.10
1997	02	25	1690.8	1.9	-47.10	0.18
1997	03	02	1689.3	2.0	-46.98	0.10
1997	03	23	1693.4	2.0	-47.05	0.18
1997	04	05	1697.4	1.4	-47.01	0.05
1997	05	05	1702.4	2.7	-47.24	0.09
1997	06	09	1708.6	2.0	-47.20	0.09
1997	07	20	1717.1	1.9	-47.40	0.09
1997	08	29	1723.2	1.9	-47.33	0.09
1997	09	13	1722.7	1.0	-47.24	0.06
1997	10	10	1722.5	2.4	-47.33	0.07
1997	11	24	1715.5	2.0	-46.92	0.09
1997	12	07	1711.9	1.2	-47.02	0.04
1997	12	17	1711.2	2.4	-47.03	0.19
1998	01	11	1704.3	2.5	-47.16	0.08
1998	01	16	1704.7	2.0	-46.89	0.09
1998	04	04	1701.7	1.8	-47.10	0.07
1998	04	29	1702.8	3.2	-46.98	0.12
1998	05	31	1713.7	1.8	-47.17	0.09
1998	08	31	1730.2	2.1	-47.04	0.12
1998	10	19	1731.3	1.6	-47.11	0.02
1998	11	26	1724.3	1.6	-47.12	0.09
1998	12	19	1718.0	2.3	-46.98	0.11
1999	01	28	1711.9	3.4	-47.06	0.02
1999	02	18	1708.4	1.7	-47.02	0.09
1999	03	17	1708.5	2.0	-46.87	0.13
1999	05	12	1720.9	2.6	-46.97	0.08
1999	07	14	1732.2	2.4	-46.97	0.12
1999	09	02	1744.4	2.2	-47.07	0.08
1999	09	30	1740.7	1.7	-47.08	0.09
1999	10	29	1737.0	2.2	-47.03	0.12
1999	12	29	1724.1	2.4	-47.13	0.02
2000	01	23	1715.0	1.5	-47.08	0.07
2000	02	16	1711.9	2.0	-46.82	0.18
2000	05	24	1721.2	2.2	-46.93	0.11
2000	07	05	1731.2	1.3	-47.10	0.12
2000	09	17	1743.6	2.0	-47.10	0.13
2000	09	28	1741.1	2.1	-47.12	0.09
2000	11	08	1737.4	1.7	-47.17	0.09
2001	01	31	1713.5	1.8	-46.92	0.15
2001	04	24	1715.1	1.4	-47.04	0.09
2001	05	25	1719.7	1.4	-47.10	0.06
2001	07	04	1731.6	1.4	-47.15	0.09
2001	08	01	1737.6	1.1	-47.17	0.04
2001	08	29	1740.4	1.7	-47.15	0.09
2001	09	26	1741.1	1.2	-47.08	0.01
2001	10	24	1737.7	1.6	-47.16	0.09
2001	11	21	1732.2	1.4	-47.08	0.01
2001	12	19	1723.9	1.7	-47.07	0.03
2002	01	30	1713.3	1.7	-47.06	0.09
2002	02	27	1711.1	1.7	-47.08	0.09
