Table 1
Bag,Depth_m,GasAge,CH4,dDCH4meas*,dDCH4corr**
3625,1993.48,33678,527,-84.6,-85.1
3631,1996.78,33939,438,-88.9,-89.3
3635,1998.98,34113,450,-77.3,-77.7
3637,2000.08,34201,432,-77.2,-77.6
3639,2001.18,34288,425,-82,-82.3
3641,2002.28,34375,409,-78.3,-78.6
3643,2003.38,34462,454,-79,-79.3
3647,2005.58,34636,446,-77.9,-78.2
3648,2006.13,34680,445,-83.1,-83.5
3649,2006.68,34723,436,-85.5,-85.9
3653,2008.88,34897,569,-94.1,-94.4
3662,2013.83,35045,542,-90.7,-91
3671,2018.78,35192,557,-96.2,-96.6
3675,2020.98,35257,571,-91.7,-92.1
3677,2022.08,35290,589,-89.5,-89.9
3681,2024.28,35355,569,-89.7,-90.2
3683,2025.38,35388,607,-88.7,-89.2
3685,2026.48,35420,622,-86.8,-87.3
3687,2027.58,35453,507,-81.8,-82.3
3693,2030.88,35687,447,-81.5,-81.9
3697,2033.08,35843,n.d.,-86.7,-87
3703,2036.38,36077,427,-79.9,-80.3
3706,2038.03,36194,432,-85.6,-85.9
3709,2039.68,36311,447,-85.5,-85.8
3711,2040.78,36389,438,-78.3,-78.6
3713,2041.88,36467,433,-87.6,-88
3715,2042.98,36545,490,-84.2,-84.5
3717,2044.08,36623,n.d.,-82.6,-83
3719,2045.18,36662,512,-81.1,-81.5
3725,2048.48,36778,586,-80.8,-81.1
3729,2050.68,36856,654,-87.6,-87.9
3731,2051.78,36895,508,-84.4,-84.8
3735,2053.98,36972,546,-88.9,-89.2
3747,2060.58,37205,637,-90.7,-91.1
3750,2062.23,37263,574,-90,-90.3
3753,2063.88,37322,545,-85.9,-86.3
3761,2068.28,37477,662,-82,-82.4
3762,2068.83,37496,555,-85.6,-86
3766,2071.03,37574,581,-91.1,-91.5
3774,2075.43,37729,576,-89.6,-90
3779,2078.18,37826,633,-92.3,-92.7
3782,2079.83,37884,562,-91.6,-92
3786,2082.03,37962,579,-89.8,-90.3
3793,2085.88,38098,583,-92.2,-92.7
3797,2088.08,38179,516,-95.5,-96
3803,2091.38,38379,483,-96,-96.4
3804,2091.93,38416,445,-97,-97.5
3804,2091.93,38416,471,-98,-98.5
3806,2093.03,38494,488,-89.6,-90
3807,2093.58,38536,496,-87.1,-87.5
3811,2095.78,38694,456,-82.4,-82.8
3816,2098.53,38857,445,-82.8,-83.3
3819,2100.18,38964,495,-81.9,-82.3
3825,2103.48,39234,462,-81.2,-81.6
3830,2106.23,39429,443,-89.2,-89.6
3837,2110.08,39740,427,-87.8,-88.2
3845,2114.48,39991,456,-83.4,-83.9
3873,2129.88,40987,551,-95.3,-95.6
