NGRIP CH4 DATA:,,,,,,,
Column 1: NGRIP depth (m),,,,,,,
"Column 2: Gas age, ss09sea06bm scale",,,,,,,
"Column 3: Gas age, AICC 2012 scale (Veres et al., 2013, Clim. Past 9)",,,,,,,
Column 4: CH4 concentration (ppb),,,,,,,
Column 5: 1-sigma uncertainty CH4 concentration (ppb),,,,,,,
Column 6: Published in,,,,,,,
,,,,,,,
1,2,3,4,5,6,,
depth,age ss09sea06bm,age AICC 2012,ch4,error,published in,,
(m),(years BP),(years BP),(ppb),(ppb),,,
1481.175,11004.4,11065.9,739.3,5.9,Baumgartner et al. (2012),,
1481.225,11005.2,11066.8,741.2,5.9,Baumgartner et al. (2012),,
1481.275,11006.0,11067.6,732.1,5.9,Baumgartner et al. (2012),,
1481.325,11006.4,11068.5,730.3,5.9,Baumgartner et al. (2012),,
1481.375,11006.8,11069.3,737.0,5.9,Baumgartner et al. (2012),,
1482.275,11019.0,11084.4,734.2,5.9,Baumgartner et al. (2012),,
1483.425,11033.5,11103.8,739.0,5.9,Baumgartner et al. (2012),,
1484.975,11053.4,11129.8,738.6,5.9,Baumgartner et al. (2012),,
1486.065,11067.5,11147.5,749.7,5.9,Baumgartner et al. (2012),,
1487.170,11081.6,11166.9,731.9,5.9,Baumgartner et al. (2012),,
1488.270,11094.8,11185.8,735.2,5.9,Baumgartner et al. (2012),,
1488.880,11102.4,11196.2,744.5,5.9,Baumgartner et al. (2012),,
1490.470,11121.4,11221.9,749.0,5.9,Baumgartner et al. (2012),,
1491.080,11128.5,11231.5,731.1,5.9,Baumgartner et al. (2012),,
1493.680,11165.8,11275.5,756.6,5.9,Baumgartner et al. (2012),,
1494.870,11181.4,11295.6,754.1,5.9,Baumgartner et al. (2012),,
1495.970,11195.6,11314.3,749.9,5.9,Baumgartner et al. (2012),,
1496.575,11203.1,11324.8,740.4,5.9,Baumgartner et al. (2012),,
1498.175,11223.7,11353.4,722.0,5.9,Baumgartner et al. (2012),,
1499.275,11238.9,11374.9,732.4,5.9,Baumgartner et al. (2012),,
1500.375,11254.8,11397.8,718.7,5.9,Baumgartner et al. (2012),,
1500.975,11263.3,11410.2,693.4,5.9,Baumgartner et al. (2012),,
1502.555,11285.0,11441.4,683.5,5.9,Baumgartner et al. (2012),,
1503.175,11293.2,11453.0,696.1,5.9,Baumgartner et al. (2012),,
1504.775,11317.2,11482.6,707.5,5.9,Baumgartner et al. (2012),,
1505.875,11333.3,11501.7,719.9,5.9,Baumgartner et al. (2012),,
1506.975,11348.5,11521.8,742.2,5.9,Baumgartner et al. (2012),,
1507.575,11356.2,11532.5,741.5,5.9,Baumgartner et al. (2012),,
1508.675,11371.0,11551.8,734.8,5.9,Baumgartner et al. (2012),,
1510.275,11393.0,11579.4,739.8,5.9,Baumgartner et al. (2012),,
1510.875,11401.5,11589.7,746.6,5.9,Baumgartner et al. (2012),,
1513.575,11443.0,11647.1,763.7,5.9,Baumgartner et al. (2012),,
1514.670,11461.7,11680.3,764.7,5.9,Baumgartner et al. (2012),,
1515.775,11482.3,11717.1,735.7,5.9,Baumgartner et al. (2012),,
1516.375,11493.6,11737.9,703.2,5.9,Baumgartner et al. (2012),,
1517.975,11533.2,11793.2,593.4,5.9,Baumgartner et al. (2012),,
1519.075,11566.4,11834.5,526.5,5.9,Baumgartner et al. (2012),,
1519.675,11585.7,11856.7,509.4,5.9,Baumgartner et al. (2012),,
1521.275,11639.0,11914.2,513.9,5.9,Baumgartner et al. (2012),,
1521.875,11659.5,11935.5,513.6,5.9,Baumgartner et al. (2012),,
1522.975,11694.6,11976.9,523.4,5.9,Baumgartner et al. (2012),,
1524.575,11746.9,12032.7,518.2,5.9,Baumgartner et al. (2012),,
1525.175,11767.6,12054.8,511.7,5.9,Baumgartner et al. (2012),,
1526.775,11825.6,12117.2,500.3,5.9,Baumgartner et al. (2012),,
1527.875,11863.9,12159.9,497.0,5.9,Baumgartner et al. (2012),,
1528.475,11884.6,12183.1,504.6,5.9,Baumgartner et al. (2012),,
1529.575,11924.9,12224.7,509.0,5.9,Baumgartner et al. (2012),,
1530.675,11969.2,12265.8,508.2,5.9,Baumgartner et al. (2012),,
1531.775,12013.4,12309.4,505.4,5.9,Baumgartner et al. (2012),,
1532.875,12058.1,12352.5,496.1,5.9,Baumgartner et al. (2012),,
1535.025,12146.3,12428.8,506.7,5.9,Baumgartner et al. (2012),,
1536.175,12194.9,12472.9,504.3,5.9,Baumgartner et al. (2012),,
1537.825,12264.8,12538.4,510.6,5.9,Baumgartner et al. (2012),,
1539.475,12333.5,12604.6,507.9,5.9,Baumgartner et al. (2012),,
1539.525,12335.4,12606.5,506.9,5.9,Baumgartner et al. (2012),,
1539.575,12337.6,12608.3,489.7,5.9,Baumgartner et al. (2012),,
1539.625,12340.1,12610.1,501.2,5.9,Baumgartner et al. (2012),,
1539.675,12341.6,12612.0,498.1,5.9,Baumgartner et al. (2012),,
1540.075,12358.4,12626.5,493.3,5.9,Baumgartner et al. (2012),,
1542.225,12450.8,12702.2,498.3,5.9,Baumgartner et al. (2012),,
1542.775,12474.4,12722.2,505.4,5.9,Baumgartner et al. (2012),,
1544.425,12541.9,12780.3,522.5,5.9,Baumgartner et al. (2012),,
1544.975,12561.8,12796.8,541.3,5.9,Baumgartner et al. (2012),,
1547.175,12632.1,12862.3,569.2,5.9,Baumgartner et al. (2012),,
1549.275,12694.3,12916.8,630.2,5.9,Baumgartner et al. (2012),,
1549.325,12695.5,12918.1,666.9,5.9,Baumgartner et al. (2012),,
1549.375,12696.7,12919.3,630.5,5.9,Baumgartner et al. (2012),,
1549.425,12698.0,12920.6,639.7,5.9,Baumgartner et al. (2012),,
1551.025,12742.1,12957.2,672.3,5.9,Baumgartner et al. (2012),,
1553.175,12801.8,13011.5,705.0,5.9,Baumgartner et al. (2012),,
1553.225,12803.1,13012.9,709.0,5.9,Baumgartner et al. (2012),,
1554.875,12856.7,13060.6,692.1,5.9,Baumgartner et al. (2012),,
1554.925,12858.2,13062.1,689.8,5.9,Baumgartner et al. (2012),,
1555.745,12887.0,13086.1,690.9,5.9,Baumgartner et al. (2012),,
1555.925,12893.3,13091.3,678.1,5.9,Baumgartner et al. (2012),,
1557.075,12931.9,13126.4,673.0,5.9,Baumgartner et al. (2012),,
1558.175,12968.0,13157.5,667.5,5.9,Baumgartner et al. (2012),,
1559.275,13003.8,13189.4,631.7,5.9,Baumgartner et al. (2012),,
1559.325,13004.9,13190.9,642.7,5.9,Baumgartner et al. (2012),,
1560.375,13037.4,13220.3,646.5,5.9,Baumgartner et al. (2012),,
1561.475,13070.3,13247.6,669.9,5.9,Baumgartner et al. (2012),,
1563.075,13117.9,13285.8,679.2,5.9,Baumgartner et al. (2012),,
1563.675,13135.0,13299.9,683.5,5.9,Baumgartner et al. (2012),,
1564.775,13165.3,13326.2,704.3,5.9,Baumgartner et al. (2012),,
1565.875,13193.6,13351.6,709.6,5.9,Baumgartner et al. (2012),,
1567.525,13236.2,13389.2,703.5,5.9,Baumgartner et al. (2012),,
1568.625,13265.1,13414.3,706.6,5.9,Baumgartner et al. (2012),,
1570.275,13306.0,13451.5,712.8,5.9,Baumgartner et al. (2012),,
1570.830,13320.6,13464.4,701.4,5.9,Baumgartner et al. (2012),,
1571.925,13347.7,13488.6,700.8,5.9,Baumgartner et al. (2012),,
1573.025,13377.7,13512.1,710.0,5.9,Baumgartner et al. (2012),,
1574.125,13408.2,13539.4,703.3,5.9,Baumgartner et al. (2012),,
1575.225,13437.8,13567.5,705.4,5.9,Baumgartner et al. (2012),,
1576.325,13465.3,13596.9,709.9,5.9,Baumgartner et al. (2012),,
1577.425,13494.0,13624.2,711.2,5.9,Baumgartner et al. (2012),,
1579.075,13535.4,13661.7,677.7,5.9,Baumgartner et al. (2012),,
1580.175,13561.7,13687.0,652.5,5.9,Baumgartner et al. (2012),,
1581.275,13587.0,13712.1,670.0,5.9,Baumgartner et al. (2012),,
1582.375,13612.7,13736.7,684.3,5.9,Baumgartner et al. (2012),,
1583.475,13639.6,13760.8,681.3,5.9,Baumgartner et al. (2012),,
1584.575,13663.4,13784.7,690.5,5.9,Baumgartner et al. (2012),,
1585.675,13687.8,13808.4,688.9,5.9,Baumgartner et al. (2012),,
1586.775,13712.5,13832.1,699.4,5.9,Baumgartner et al. (2012),,
1587.065,13718.7,13838.3,696.2,5.9,Baumgartner et al. (2012),,
1588.425,13750.0,13868.2,704.4,5.9,Baumgartner et al. (2012),,
1589.525,13774.7,13893.0,700.7,5.9,Baumgartner et al. (2012),,
1590.625,13801.7,13920.7,690.9,5.9,Baumgartner et al. (2012),,
1591.725,13829.4,13950.4,681.7,5.9,Baumgartner et al. (2012),,
1592.825,13860.4,13981.6,682.4,5.9,Baumgartner et al. (2012),,
1593.925,13892.5,14013.3,678.5,5.9,Baumgartner et al. (2012),,
1595.525,13937.8,14052.4,663.1,5.9,Baumgartner et al. (2012),,
1596.675,13968.7,14078.6,615.0,5.9,Baumgartner et al. (2012),,
1597.775,13996.6,14103.5,606.7,5.9,Baumgartner et al. (2012),,
1599.425,14035.5,14141.0,614.7,5.9,Baumgartner et al. (2012),,
1599.925,14046.6,14152.1,629.1,5.9,Baumgartner et al. (2012),,
1601.575,14081.4,14183.7,666.4,5.9,Baumgartner et al. (2012),,
1602.175,14094.5,14194.9,668.0,5.9,Baumgartner et al. (2012),,
1603.825,14129.2,14228.2,673.4,5.9,Baumgartner et al. (2012),,
1604.925,14152.5,14247.5,655.4,5.9,Baumgartner et al. (2012),,
1606.025,14175.7,14266.5,651.7,5.9,Baumgartner et al. (2012),,
1607.675,14206.4,14297.1,670.0,5.9,Baumgartner et al. (2012),,
1608.775,14226.1,14317.9,669.1,5.9,Baumgartner et al. (2012),,
1610.425,14255.4,14351.0,649.6,5.9,Baumgartner et al. (2012),,
1612.075,14285.2,14383.2,672.4,5.9,Baumgartner et al. (2012),,
1613.175,14304.3,14403.5,656.4,5.9,Baumgartner et al. (2012),,
1614.275,14322.4,14423.8,646.5,5.9,Baumgartner et al. (2012),,
1615.375,14339.8,14445.8,656.1,5.9,Baumgartner et al. (2012),,
1617.025,14366.1,14475.9,672.6,5.9,Baumgartner et al. (2012),,
1618.675,14393.1,14505.5,657.7,5.9,Baumgartner et al. (2012),,
1619.225,14402.1,14515.3,657.4,5.9,Schilt et al. (2010),,
1620.275,14418.4,14533.9,651.1,5.9,Baumgartner et al. (2012),,
1621.425,14436.3,14556.3,649.6,5.9,Baumgartner et al. (2012),,
1621.975,14444.6,14567.6,661.4,5.9,Schilt et al. (2010),,
1623.625,14472.2,14603.1,674.6,5.9,Baumgartner et al. (2012),,
1623.675,14473.2,14604.2,673.8,5.9,Baumgartner et al. (2012),,
1623.725,14473.8,14605.3,667.6,5.9,Baumgartner et al. (2012),,
1623.775,14474.8,14606.5,660.5,5.9,Baumgartner et al. (2012),,
1623.825,14475.5,14607.6,668.6,5.9,Baumgartner et al. (2012),,
1624.725,14490.7,14629.5,645.1,5.9,Schilt et al. (2010),,
1626.445,14524.1,14683.7,648.3,5.9,Baumgartner et al. (2012),,
