Depth (m),uncorrected [CH4] (ppb),corrected [CH4] (ppb)
1740.27,661.7,660.9
1744.57,682.0,680.4
1748.95,703.9,703.1
1751.95,717.8,716.5
1756.17,720.2,719.4
1760.17,711.1,710.3
1764.35,660.9,659.6
1768.29,684.6,683.8
1772.27,701.2,700.5
1776.19,678.6,677.9
1780.18,664.0,663.1
1784.18,606.9,606.1
1788.32,686.5,685.6
1788.33,679.5,678.6
1792.25,644.3,643.7
1796.15,641.4,640.6
1800.155,647.3,641.7
1803.81,658.6,654.1
1808.27,654.1,648.7
1812.15,643.2,637.7
1815.17,638.5,631.1
1816.35,634.1,628.4
1817.34,643.1,636.3
1818.35,608.0,600.6
1819.225,575.8,565.2
1820.17,555.4,550.9
1820.75,533.6,529.2
1821.16,514.3,510.5
1821.65,520.4,515.0
1822.76,498.9,494.1
1822.86,498.1,493.2
1823.55,511.7,504.2
1824.05,505.3,498.6
1825.45,499.1,492.1
1825.7,507.2,500.8
1826.17,509.1,503.8
1827.15,489.0,482.3
1828.15,500.0,493.0
1829.47,492.8,484.9
1829.57,491.2,483.3
1831.05,487.7,479.0
1832.17,492.6,485.3
1833.19,487.8,481.8
1834.05,496.1,489.9
1835.27,486.8,480.0
1836.05,497.0,490.0
1836.15,493.2,485.8
1837.05,487.6,482.7
1838.17,487.4,481.7
1839.05,491.2,484.6
1840.05,494.2,486.1
1840.15,487.5,479.3
1841.95,476.3,468.0
1842.975,472.1,465.4
1843.45,467.2,460.9
1843.95,466.5,459.6
1844.34,467.4,459.7
1844.44,472.0,464.2
1844.75,470.3,462.7
1845.45,471.7,464.3
1845.95,471.9,464.1
1846.45,472.4,465.5
1846.95,474.3,466.2
1847.45,469.5,462.9
1847.95,468.6,461.5
1848.45,465.8,458.3
1848.955,479.4,472.1
1849.25,468.5,461.8
1849.45,463.9,457.4
1849.75,475.1,467.9
1849.95,465.0,457.9
1850.42,479.3,471.3
1850.65,483.7,473.9
1850.95,479.2,469.4
1851.16,485.1,476.8
1851.645,489.7,481.7
1852.325,484.8,477.1
1852.925,478.0,470.8
1853.15,476.3,469.7
1853.35,468.4,461.8
1853.45,462.7,456.1
1853.65,465.0,457.5
1853.95,455.3,447.9
1854.05,461.5,454.6
1854.35,454.0,447.4
1854.625,466.0,459.0
1854.95,463.0,456.1
1855.45,466.7,459.1
1855.95,468.4,459.9
1856.45,460.4,451.8
1856.95,459.7,452.3
1857.35,463.1,453.9
1857.75,448.9,440.0
1858.5125,448.0,439.0
1858.925,449.2,440.0
1859.45,448.2,440.0
1859.945,453.6,444.7
1860.45,446.8,440.1
1860.95,451.8,443.4
1860.955,450.5,439.7
1861.45,450.4,440.6
1861.85,452.7,441.3
1862.45,448.3,438.3
1862.95,448.9,441.2
1863.35,439.2,430.3
1863.65,437.2,428.4
1864.45,433.8,425.9
1864.54,441.0,433.0
1864.95,436.6,430.2
1865.45,436.1,430.4
1865.95,440.4,433.7
1866.45,437.3,431.3
1866.95,439.7,434.0
1867.43,432.1,427.6
1867.95,435.8,430.6
1868.37,431.8,426.6
1868.95,429.3,423.6
1869.35,431.5,425.5
1869.75,432.3,425.3
1870.45,423.8,419.6
1870.95,418.1,414.6
1871.17,420.3,416.9
1871.925,414.1,408.7
1872.45,420.9,415.5
1872.95,415.5,408.2
1873.475,419.7,413.3
1873.8875,420.8,414.8
1874.5125,420.8,413.1
1874.925,418.4,411.3
1875.4375,415.3,409.2
1875.8875,419.8,411.6
1876.45,414.3,406.7
1876.95,408.7,402.6
1877.45,410.4,405.1
1877.65,408.7,403.7
1877.95,407.2,402.4
1878.45,403.9,398.7
1878.65,411.6,406.7
1878.95,407.7,402.9
1879.15,404.7,399.4
1879.35,405.4,400.2
1879.64,403.0,398.2
1880.175,402.6,398.4
1880.45,397.7,393.5
1880.65,402.9,398.4
1880.95,404.5,399.3
1881.16,399.7,394.5
1881.45,399.8,394.3
1881.665,398.2,393.0
1881.95,410.7,404.6
1882.9625,395.9,390.3
1883.38,391.6,386.0
1883.925,396.4,386.5
1884.8875,392.7,388.2
1884.925,400.2,395.0
1885.3875,397.6,393.4
1885.8875,389.1,384.9
1886.295,390.3,386.3
1886.95,394.9,390.5
1887.35,394.3,389.5
1887.85,393.6,388.9
1888.8875,398.0,393.2
1889.8875,393.2,387.3
1890.65,400.8,395.3
1891.95,397.8,390.1
1892.9625,393.3,388.3
1893.95,389.9,385.0
1894.95,385.2,380.6
1895.95,390.0,381.7
1896.95,390.0,385.6
1897.95,387.2,382.5
1898.95,393.5,387.8
1899.7725,387.9,383.5
1900.95,388.5,384.4
1901.85,393.7,386.5
1903.05,390.6,385.6
1904.34,389.2,384.5
1906.34,394.1,389.6
1907.47,393.5,387.8
1908.15,391.5,386.8
1909.05,390.5,382.8
1911.05,389.9,385.8
1913.27,398.0,392.7
1915.45,390.5,384.4
1917.2,391.7,384.2
1919.15,391.0,382.9
1921.225,395.8,388.6
1923.2,398.2,393.3
1925.2,389.9,385.5
1925.4,392.2,387.6
1927.35,388.8,381.9
1928.95,387.1,380.7
1932.73,383.2,378.3
1934.05,387.4,382.4
1936.34,390.3,383.9
1938.75,382.1,374.0
1940.85,392.2,387.3
1942.85,391.6,385.7
1945.415,391.0,384.0
1946.65,383.2,374.3
1949.45,384.9,377.7
1951.6,391.6,384.3
1953.05,395.6,385.8
1954.35,388.7,379.8
1962.95,386.8,380.6
1964.75,385.3,379.5
1966.65,390.5,380.8
1968.75,378.3,373.3
1970.85,378.2,371.5
1972.75,374.9,369.1
1974.95,373.4,366.4
1976.85,370.7,368.0
1979.25,379.4,373.7
1979.35,379.1,373.5
1981.295,379.8,373.8
1983.05,385.5,380.3
1985.48,383.6,381.1
1986.95,392.6,385.6
1988.95,403.7,383.4
1990.05,407.9,377.1
1991.055,418.0,396.6
1992.55,402.1,383.5
1993.95,408.0,391.0
1994.95,417.0,395.9
1995.75,421.1,396.0
1996.95,412.4,389.7
1997.9,416.0,391.8
1997.95,416.0,392.0
1998.95,413.6,397.5
1999.925,412.7,401.5
2000.85,403.4,393.1
2001.375,403.6,394.6
2001.825,411.7,401.6
2002.45,413.9,403.3
2002.75,425.2,413.8
2003.5125,419.2,407.8
2003.9625,422.0,412.2
2004.4375,416.9,408.0
2004.9,412.8,403.9
2005.45,407.7,398.7
2005.95,403.7,395.4
2006.4375,408.6,396.2
2006.9625,404.4,392.7
2007.75,409.1,394.5
2008.5125,410.2,395.3
2008.9625,413.2,398.7
2009.45,411.0,401.1
2009.95,412.8,397.4
2010.4625,405.4,391.1
2010.8875,408.3,398.4
2011.35,414.1,396.3
2011.95,407.8,400.3
2012.45,412.3,403.7
2012.95,412.9,399.1
2013.45,411.7,402.6
2013.95,404.7,394.0
2014.45,403.8,388.2
2014.95,400.4,378.9
2015.45,390.2,363.5
2015.95,391.9,372.5
2016.2875,380.0,361.6
2016.9625,382.9,362.3
2017.5125,379.0,357.5
2017.8875,385.0,364.1
2018.55,393.3,370.1
2018.95,379.6,359.4
2019.4625,384.9,364.0
2019.9625,390.3,368.4
2020.45,393.1,373.4
2020.95,393.4,368.6
2021.9625,400.5,372.6
2022.45,400.9,370.5
2022.9625,397.9,371.8
2023.45,395.7,366.7
2023.95,392.6,363.7
2024.45,388.1,364.5
2024.8225,389.7,367.2
2024.823,390.5,368.1
2025.45,384.8,370.4
2025.95,386.3,374.6
2026.5125,388.5,377.5
2026.9625,390.9,382.3
2027.45,384.6,373.9
2027.85,384.6,375.6
2028.45,385.9,378.7
2028.95,392.0,383.2
2029.45,391.7,383.6
2029.95,385.5,378.3
2030.55,392.4,383.5
2030.95,391.5,382.9
2031.45,386.9,380.6
2031.95,387.9,381.0
2032.45,381.6,370.5
2032.95,376.5,366.1
2033.45,376.6,364.6
2033.85,378.7,367.4
2034.45,388.2,378.7
2034.95,383.0,374.0
2035.45,382.7,373.3
2035.95,385.3,377.9
2036.45,380.6,373.5
2036.845,380.5,373.4
2037.45,390.3,380.7
2037.95,386.5,376.3
2038.45,378.9,369.3
2038.95,378.8,368.7
2039.4,369.2,359.1
2039.85,373.2,365.2
2040.45,377.9,369.1
2040.95,372.7,364.6
2041.2475,369.6,360.0
2041.7875,368.9,361.4
2042.4375,374.7,366.5
2042.8775,377.9,371.2
2043.45,381.8,375.1
2043.9675,378.8,371.7
2044.7875,374.6,367.8
2045.4375,374.0,368.5
2045.8875,380.4,372.9
2046.45,377.9,369.8
2046.95,386.4,377.4
2047.4375,380.9,372.1
2047.8875,377.6,370.6
2048.85,381.2,374.7
2049.45,373.0,368.1
2049.95,369.1,366.4
2052.45,379.0,377.3
2052.95,379.2,377.8
2053.435,378.4,377.0
2054.45,385.0,383.3
2054.9,387.6,386.3
2055.435,392.0,390.7
2056.35,393.9,391.8
2056.75,389.5,383.3
2058.45,405.0,394.1
2058.95,405.8,397.0
