/* DATA DESCRIPTION:
Citation:	Bock, Michael; Schmitt, Jochen; Beck, Jonas; Seth, Barbara; Chappellaz, Jérôme A; Fischer, Hubertus (2017): Stable isotopic methane (δ¹³CH4) records of ice core TALDICE. PANGAEA, https://doi.org/10.1594/PANGAEA.873914, 
	In supplement to: Bock, M et al. (2017): Glacial/interglacial wetland, biomass burning, and geologic methane emissions constrained by dual stable isotopic CH4 ice core records. Proceedings of the National Academy of Sciences, 201613883, https://doi.org/10.1073/pnas.1613883114
Coverage:	LATITUDE: -72.783330 * LONGITUDE: 159.066670
	DATE/TIME START: 2005-01-01T00:00:00 * DATE/TIME END: 2008-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 132.06 m * MAXIMUM DEPTH, ice/snow: 1437.65 m
Event(s):	TALDICE (Talos Dome) * LATITUDE: -72.783330 * LONGITUDE: 159.066670 * DATE/TIME START: 2005-01-01T00:00:00 * DATE/TIME END: 2008-12-31T00:00:00 * ELEVATION: 2315.0 m * Recovery: 89 m * LOCATION: Antarctica * METHOD/DEVICE: Electromechanical drill (EMD)
Comment:	d13CH4 data are measured using the system described in:
	Schmitt, J., B. Seth, M. Bock, H. Fischer, "Online technique for isotope and mixing ratios of CH4, N2O, Xe and mixing ratios of organic trace gases on a single ice core sample", Atmospheric Measurement Techniques, 7/8, 2645-2665, 2014, doi:10.5194/amt-7-2645-2014
	All data are free of krypton interference during the mass spectrometric analysis. For details see:
	Schmitt, J., B. Seth, M. Bock, C. van der Veen, L. Möller, C. J. Sapart, M. Prokopiou, T. Sowers, T. Röckmann, H. Fischer, "On the interference of Kr during carbon isotope analysis of methane using continuous-flow combustion-isotope ratio mass spectrometry", Atmospheric Measurement Techniques, 6/1, 1425-1445, 2013, doi:10.5194/amt-6-1425-2013
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock)
	Gas age [ka BP] (Gas age) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * COMMENT: AICC2012, BP = 1950
	Methane mixing ratio [nmol/mol] (CH4 mix ratio) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * METHOD/DEVICE: Determined according to Schmitt et al. (2014) (URI: https://doi.org/10.5194/amt-7-2645-2014) * COMMENT: measured
	Methane mixing ratio, standard deviation [±] (CH4 mix ratio std dev) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * METHOD/DEVICE: Determined according to Schmitt et al. (2014) (URI: https://doi.org/10.5194/amt-7-2645-2014) * COMMENT: Methane mixing ratio error (1-sigma standard deviation of ice core replicates in nmol/mol)
	δ13C, methane [‰ PDB] (δ13C CH4) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * METHOD/DEVICE: Determined according to Schmitt et al. (2014) (URI: https://doi.org/10.5194/amt-7-2645-2014) * COMMENT: measured, with respect to Vienna Pee Dee Belemnite (VPDB)
	δ13C, methane, standard deviation [±] (δ13C CH4 std dev) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * METHOD/DEVICE: Determined according to Schmitt et al. (2014) (URI: https://doi.org/10.5194/amt-7-2645-2014) * COMMENT: d13CH4 error (1-sigma standard deviation of ice core replicates in per mil with respect to Vienna Pee Dee Belemnite (VPDB))
	Gravitational settling [‰] (Grav sett) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * METHOD/DEVICE: see Bock et al. (2017) * COMMENT: see supporting information of Bock et al. (2017)
	δ13C, methane [‰ PDB] (δ13C CH4) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * METHOD/DEVICE: see Bock et al. (2017) * COMMENT: corrected for gravitational settling in the firn, with respect to Vienna Pee Dee Belemnite (VPDB)
	Diffusive fractionation [‰] (Diff frac) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * METHOD/DEVICE: see Bock et al. (2017) * COMMENT: see supporting information of Bock et al. (2017)
	δ13C, methane [‰ PDB] (δ13C CH4) * PI: Bock, Michael (https://orcid.org/0000-0001-5744-3169, bock@climate.unibe.ch, http://www.climate.unibe.ch/about_us/team/personalpages/index_eng.html?id=bock) * METHOD/DEVICE: see Bock et al. (2017) * COMMENT: corrected for gravitational settling and diffusional fractionation in the firn, with respect to Vienna Pee Dee Belemnite (VPDB)
License:	Creative Commons Attribution-NoDerivs 3.0 Unported (CC-BY-ND-3.0)
Size:	1530 data points
*/
Depth ice/snow [m]	Gas age [ka BP] (AICC2012, BP = 1950)	CH4 mix ratio [nmol/mol] (measured, Determined accordin...)	CH4 mix ratio std dev [±] (Methane mixing ratio error (1...)	δ13C CH4 [‰ PDB] (measured, with respect to Vie...)	δ13C CH4 std dev [±] (d13CH4 error (1-sigma standar...)	Grav sett [‰] (see supporting information of...)	δ13C CH4 [‰ PDB] (corrected for gravitational s...)	Diff frac [‰] (see supporting information of...)	δ13C CH4 [‰ PDB] (corrected for gravitational s...)
132.06	0.723	672	5	-47.50	0.15	0.33	-47.83	0.01	-47.84
192.03	1.497	637	5	-47.47	0.15	0.33	-47.80	0.00	-47.80
216.18	1.851	644	5	-47.11	0.15	0.33	-47.44	-0.01	-47.42
216.30	1.854	641	5	-47.21	0.15	0.33	-47.54	-0.01	-47.52
227.03	1.987	630	5	-47.30	0.15	0.33	-47.63	-0.02	-47.61
240.42	2.201	611	5	-47.45	0.15	0.33	-47.78	-0.01	-47.77
253.03	2.372	612	5	-47.83	0.15	0.33	-48.16	0.00	-48.15
264.09	2.533	575	5	-47.65	0.15	0.33	-47.98	-0.01	-47.97
264.40	2.545	596	5	-47.52	0.15	0.33	-47.85	-0.01	-47.84
300.03	3.125	582	5	-47.31	0.15	0.32	-47.63	0.00	-47.63
348.06	3.893	596	5	-47.32	0.15	0.32	-47.64	0.00	-47.64
348.37	3.911	592	5	-47.41	0.15	0.32	-47.73	-0.01	-47.73
385.03	4.607	569	5	-47.75	0.15	0.32	-48.07	-0.01	-48.06
409.03	5.065	555	5	-47.71	0.15	0.32	-48.03	0.00	-48.02
433.03	5.543	577	5	-47.70	0.15	0.31	-48.01	0.01	-48.02
456.43	6.012	564	5	-47.24	0.15	0.31	-47.55	0.00	-47.55
486.00	6.634	592	5	-47.16	0.15	0.30	-47.46	0.01	-47.47
512.00	7.214	634	5	-47.01	0.15	0.31	-47.32	0.01	-47.32
534.36	7.749	617	5	-47.01	0.15	0.32	-47.33	0.00	-47.32
534.48	7.754	602	5	-46.90	0.15	0.32	-47.22	0.00	-47.21
562.48	8.465	636	5	-46.79	0.15	0.32	-47.11	0.03	-47.14
587.48	9.108	668	5	-46.39	0.15	0.33	-46.72	0.01	-46.73
646.48	10.407	708	5	-45.99	0.15	0.35	-46.34	0.02	-46.36
660.27	10.712	670	5	-45.75	0.15	0.36	-46.11	-0.03	-46.08
673.64	11.047	685	5	-45.42	0.15	0.36	-45.78	0.02	-45.80
681.85	11.269	667	5	-45.54	0.15	0.36	-45.90	0.00	-45.90
697.79	11.660	505	5	-45.86	0.15	0.36	-46.22	-0.18	-46.04
705.64	11.861	470	5	-45.04	0.15	0.36	-45.40	-0.06	-45.34
769.85	14.230	615	5	-45.06	0.15	0.36	-45.42	-0.01	-45.40
785.69	14.846	514	5	-45.76	0.15	0.36	-46.12	-0.09	-46.03
826.24	16.835	432	5	-43.45	0.15	0.35	-43.80	-0.03	-43.77
847.58	18.237	375	5	-42.47	0.15	0.35	-42.82	-0.02	-42.80
848.76	18.330	374	5	-42.77	0.15	0.35	-43.12	-0.02	-43.10
854.00	18.869	382	5	-42.25	0.15	0.35	-42.60	0.00	-42.60
856.60	19.061	379	5	-42.44	0.15	0.35	-42.79	0.01	-42.80
864.60	19.664	367	5	-42.91	0.15	0.35	-43.26	0.00	-43.26
865.60	19.744	373	5	-42.60	0.15	0.35	-42.95	0.00	-42.95
869.40	20.060	364	5	-42.90	0.15	0.35	-43.25	-0.02	-43.23
869.80	20.093	367	5	-42.57	0.15	0.35	-42.92	-0.02	-42.90
873.60	20.442	384	5	-42.59	0.15	0.35	-42.94	0.00	-42.94
879.40	21.027	365	5	-42.41	0.15	0.35	-42.76	0.01	-42.77
879.53	21.040	357	5	-42.58	0.15	0.35	-42.93	0.01	-42.94
887.45	21.911	362	5	-42.59	0.15	0.33	-42.92	-0.01	-42.91
894.84	22.721	382	5	-43.24	0.15	0.34	-43.58	0.01	-43.60
896.84	22.923	390	5	-43.05	0.15	0.35	-43.40	-0.02	-43.38
903.41	23.678	387	5	-42.62	0.15	0.35	-42.97	0.01	-42.98
929.60	26.729	364	5	-43.57	0.15	0.34	-43.91	0.03	-43.94
943.81	28.160	368	5	-43.54	0.15	0.39	-43.93	-0.04	-43.89
958.67	29.521	391	5	-43.79	0.15	0.39	-44.18	0.02	-44.20
981.84	31.843	412	5	-43.73	0.15	0.42	-44.15	0.05	-44.20
990.40	32.651	423	5	-44.87	0.15	0.44	-45.31	-0.05	-45.26
1007.27	34.125	440	5	-44.12	0.15	0.42	-44.54	-0.06	-44.48
1035.34	36.386	462	5	-44.52	0.15	0.42	-44.94	0.07	-45.01
1041.69	36.897	531	5	-44.77	0.15	0.41	-45.18	0.03	-45.21
1047.38	37.338	574	5	-45.11	0.15	0.41	-45.52	0.02	-45.54
1055.47	37.956	564	5	-45.01	0.15	0.42	-45.43	-0.03	-45.41
1059.15	38.190	479	5	-46.06	0.15	0.43	-46.49	-0.10	-46.39
1067.47	38.768	453	5	-44.84	0.15	0.42	-45.26	0.01	-45.27
1071.25	39.047	449	5	-44.44	0.15	0.42	-44.86	0.00	-44.86
1083.25	40.003	458	5	-43.55	0.15	0.38	-43.93	-0.02	-43.91
1091.42	40.590	442	5	-44.41	0.15	0.35	-44.76	0.02	-44.79
1095.42	40.939	473	5	-43.95	0.15	0.39	-44.34	0.04	-44.38
1099.13	41.289	433	5	-45.08	0.15	0.41	-45.49	-0.03	-45.45
1103.27	41.585	425	5	-44.87	0.15	0.42	-45.29	-0.06	-45.23
1115.47	42.668	463	5	-44.94	0.15	0.39	-45.33	0.04	-45.36
1119.13	42.972	496	5	-44.92	0.15	0.40	-45.32	0.01	-45.32
1125.82	43.534	429	5	-45.38	0.15	0.39	-45.77	-0.07	-45.71
1127.22	43.636	413	5	-45.32	0.15	0.40	-45.72	-0.05	-45.67
1132.22	44.071	423	5	-45.46	0.15	0.40	-45.86	0.03	-45.89
1143.32	44.982	481	5	-46.42	0.15	0.39	-46.81	-0.01	-46.80
1151.17	45.562	499	5	-46.31	0.15	0.40	-46.71	0.02	-46.73
1155.27	45.852	532	5	-46.83	0.15	0.40	-47.23	0.00	-47.23
1157.72	46.043	518	5	-46.87	0.15	0.39	-47.26	0.01	-47.27
1167.32	46.727	509	5	-47.30	0.15	0.41	-47.71	-0.07	-47.64
